reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RXN-18384	ACRYLYL-COA + CARBON-DIOXIDE + NADPH = METHYL-MALONYL-COA + NADP	5.0 millimolar / second	-40.836293713945 kilojoule / mole	-40.78000773439336 kilojoule / mole	-23.665170199672325 kilojoule / mole	-17.12842181954987 kilojoule / mole	0.0
RXN-8457	2-KETOGLUTARATE + ATP + CARBON-DIOXIDE + WATER = ADP + OXALO-SUCCINATE + 2 PROTON + Pi	5.0 millimolar / second	-14.212150054010465 kilojoule / mole	-13.643023975200592 kilojoule / mole	-13.643023975200592 kilojoule / mole	-93.14955548427973 kilojoule / mole	0.0
PYRUVFORMLY-RXN	ACETYL-COA + FORMATE = CO-A + PYRUVATE	5.0 millimolar / second	19.81002119165261 kilojoule / mole	19.84022361813888 kilojoule / mole	19.84022361813888 kilojoule / mole	21.253955976175302 kilojoule / mole	0.0
HYDGLUTSYN-RXN	GLYOX + PROPIONYL-COA + WATER = 2-HYDROXYGLUTARIC + CO-A + PROTON	5.0 millimolar / second	549.4740382751684 kilojoule / mole	82.81836609204288 kilojoule / mole	82.81836609204288 kilojoule / mole	25.989020888541404 kilojoule / mole	0.0
RXN-16767	CPD-18087 = NADH	5.0 millimolar / second	0.5321601063815251 kilojoule / mole	3.692397310980935 kilojoule / mole	3.692397310980935 kilojoule / mole	12.994330490357834 kilojoule / mole	0.0
HOMOSERDEAM-RXN	HOMO-SER = 2-OXOBUTANOATE + AMMONIUM	5.0 millimolar / second	-63.201803634130385 kilojoule / mole	-62.91799318904697 kilojoule / mole	-80.032830723768 kilojoule / mole	-79.77509447531536 kilojoule / mole	0.0
1.4.1.21-RXN-L-ASPARTATE/NADP/WATER//OXALACETIC_ACID/AMMONIUM/NADPH/PROTON.62.	AMMONIUM + NADPH + OXALACETIC + PROTON = L-ASPARTATE + NADP + WATER	5.0 millimolar / second	-754.6220221794651 kilojoule / mole	-112.68422153095617 kilojoule / mole	-95.56938399623516 kilojoule / mole	-50.994471780213644 kilojoule / mole	0.0
KETOBUTFORMLY-RXN	2-OXOBUTANOATE + CO-A = FORMATE + PROPIONYL-COA	5.0 millimolar / second	-3.5569274338457717 kilojoule / mole	-3.4537763199871545 kilojoule / mole	-3.4537763199871545 kilojoule / mole	-0.25850634505107095 kilojoule / mole	0.0
HOMOSERDEHYDROG-RXN-HOMO-SER/NADP//L-ASPARTATE-SEMIALDEHYDE/NADPH/PROTON.53.	L-ASPARTATE-SEMIALDEHYDE + NADPH + PROTON = HOMO-SER + NADP	5.0 millimolar / second	-22.39011686094136 kilojoule / mole	-22.385352931543164 kilojoule / mole	-22.385352931543164 kilojoule / mole	8.216830341080758 kilojoule / mole	0.0
RXN-14103	2-HYDROXYGLUTARIC + FAD + PROTON = 2-KETOGLUTARATE + FADH2	5.0 millimolar / second	-589.1769081708017 kilojoule / mole	-122.60396527059339 kilojoule / mole	-122.60396527059339 kilojoule / mole	-82.33060197478966 kilojoule / mole	0.0
MALYL-COA-LYASE-RXN	CPD-208 = ACETYL-COA + GLYOX	5.0 millimolar / second	16.16223184156047 kilojoule / mole	16.16223184357173 kilojoule / mole	-0.9526056911493049 kilojoule / mole	0.03421003082748808 kilojoule / mole	0.0
R23-RXN	NADH + OXALO-SUCCINATE + PROTON = NAD + THREO-DS-ISO-CITRATE	5.0 millimolar / second	-17.957744232673406 kilojoule / mole	-18.108345562979007 kilojoule / mole	-18.108345562979007 kilojoule / mole	17.91056789628683 kilojoule / mole	0.0
RXN-14047	THREO-DS-ISO-CITRATE = CIT	5.0 millimolar / second	-7.64512163077643 kilojoule / mole	-7.979707535753437 kilojoule / mole	-7.979707535753437 kilojoule / mole	6.406841564732807 kilojoule / mole	0.0
MALATE-DEH-RXN[CCO-CYTOSOL]-MAL/NAD//OXALACETIC_ACID/NADH/PROTON.50.	NADH + OXALACETIC + PROTON = MAL + NAD	5.0 millimolar / second	-744.9846394418703 kilojoule / mole	-103.06104201208711 kilojoule / mole	-103.06104201208711 kilojoule / mole	-46.61685874984494 kilojoule / mole	0.0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	L-BETA-ASPARTYL-P + NADPH + PROTON = L-ASPARTATE-SEMIALDEHYDE + NADP + Pi	5.0 millimolar / second	20.345053421939667 kilojoule / mole	20.345053420990126 kilojoule / mole	3.230215886269095 kilojoule / mole	13.825142042695463 kilojoule / mole	0.0
RXN-15977	OXYGEN-MOLECULE + PROPIONYL-COA = ACRYLYL-COA + HYDROGEN-PEROXIDE	5.0 millimolar / second	-71.86862986103537 kilojoule / mole	-49.332398329734815 kilojoule / mole	-49.332398329734815 kilojoule / mole	-16.06734098600501 kilojoule / mole	0.0
RXN-16774	HYDROGEN-PEROXIDE + NAD = CPD-18087 + OXYGEN-MOLECULE + PROTON	5.0 millimolar / second	131.89141496345414 kilojoule / mole	106.01913288812626 kilojoule / mole	106.01913288812626 kilojoule / mole	26.14989103724561 kilojoule / mole	1.0
ASPARTATEKIN-RXN	ATP + L-ASPARTATE = ADP + L-BETA-ASPARTYL-P	5.0 millimolar / second	22.274273316339418 kilojoule / mole	22.274273320664243 kilojoule / mole	22.274273320664243 kilojoule / mole	7.318390456163575 kilojoule / mole	0.0
