reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RXN-18384	ACRYLYL-COA + CARBON-DIOXIDE + NADPH = METHYL-MALONYL-COA + NADP	5.0 millimolar / second	-40.836293713945 kilojoule / mole	-40.7821332792469 kilojoule / mole	-23.667295744525866 kilojoule / mole	-20.887580491103776 kilojoule / mole	0.0
PROPIONYL-COA-CARBOXY-RXN	ATP + HCO3 + PROPIONYL-COA = ADP + D-METHYL-MALONYL-COA + PROTON + Pi	5.0 millimolar / second	-2.7445003681897973 kilojoule / mole	-2.957996925192295 kilojoule / mole	-2.957996925192295 kilojoule / mole	-34.61295053632182 kilojoule / mole	0.0
PYRUVFORMLY-RXN	ACETYL-COA + FORMATE = CO-A + PYRUVATE	5.0 millimolar / second	19.81002119165261 kilojoule / mole	19.839083005990133 kilojoule / mole	19.839083005990133 kilojoule / mole	24.069160091392817 kilojoule / mole	0.0
RXN-16767	CPD-18087 = NADH	5.0 millimolar / second	0.5321601063815251 kilojoule / mole	3.5730480809818923 kilojoule / mole	3.5730480809818923 kilojoule / mole	16.890644746135408 kilojoule / mole	0.0
HOMOSERDEAM-RXN	HOMO-SER = 2-OXOBUTANOATE + AMMONIUM	5.0 millimolar / second	-63.201803634130385 kilojoule / mole	-62.92871127400786 kilojoule / mole	-80.04354880872889 kilojoule / mole	-80.79813226007148 kilojoule / mole	0.0
1.4.1.21-RXN-L-ASPARTATE/NADP/WATER//OXALACETIC_ACID/AMMONIUM/NADPH/PROTON.62.	AMMONIUM + NADPH + OXALACETIC + PROTON = L-ASPARTATE + NADP + WATER	5.0 millimolar / second	-754.6220221794651 kilojoule / mole	-113.51106149519649 kilojoule / mole	-96.39622396047548 kilojoule / mole	-51.75022921805373 kilojoule / mole	0.0
KETOBUTFORMLY-RXN	2-OXOBUTANOATE + CO-A = FORMATE + PROPIONYL-COA	5.0 millimolar / second	-3.5569274338457717 kilojoule / mole	-3.4576724349462964 kilojoule / mole	-3.4576724349462964 kilojoule / mole	-8.542951940901773 kilojoule / mole	0.0
HOMOSERDEHYDROG-RXN-HOMO-SER/NADP//L-ASPARTATE-SEMIALDEHYDE/NADPH/PROTON.53.	L-ASPARTATE-SEMIALDEHYDE + NADPH + PROTON = HOMO-SER + NADP	5.0 millimolar / second	-22.39011686094136 kilojoule / mole	-22.385532857278896 kilojoule / mole	-22.385532857278896 kilojoule / mole	9.194524186419827 kilojoule / mole	0.0
MALYL-COA-LYASE-RXN	CPD-208 = ACETYL-COA + GLYOX	5.0 millimolar / second	16.1622318415602 kilojoule / mole	16.162231852014457 kilojoule / mole	-0.9526056827065744 kilojoule / mole	-3.7837212402403595 kilojoule / mole	0.0
RXN-14047	THREO-DS-ISO-CITRATE = CIT	5.0 millimolar / second	-7.64512163077643 kilojoule / mole	-7.967071499876845 kilojoule / mole	-7.967071499876845 kilojoule / mole	0.9457824839567563 kilojoule / mole	0.0
MALATE-DEH-RXN[CCO-CYTOSOL]-MAL/NAD//OXALACETIC_ACID/NADH/PROTON.50.	NADH + OXALACETIC + PROTON = MAL + NAD	5.0 millimolar / second	-744.9846394418703 kilojoule / mole	-103.88734558187991 kilojoule / mole	-103.88734558187991 kilojoule / mole	-51.32220643092114 kilojoule / mole	0.0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	L-BETA-ASPARTYL-P + NADPH + PROTON = L-ASPARTATE-SEMIALDEHYDE + NADP + Pi	5.0 millimolar / second	20.345053421939667 kilojoule / mole	20.34505336294186 kilojoule / mole	3.230215828220828 kilojoule / mole	15.971396867866222 kilojoule / mole	0.0
RXN-15977	OXYGEN-MOLECULE + PROPIONYL-COA = ACRYLYL-COA + HYDROGEN-PEROXIDE	5.0 millimolar / second	-71.86862986103537 kilojoule / mole	-50.18349882799342 kilojoule / mole	-50.18349882799342 kilojoule / mole	-15.450301258220904 kilojoule / mole	0.0
RXN-16774	HYDROGEN-PEROXIDE + NAD = CPD-18087 + OXYGEN-MOLECULE + PROTON	5.0 millimolar / second	131.89141496345414 kilojoule / mole	106.99622279075125 kilojoule / mole	106.99622279075125 kilojoule / mole	27.126980936843086 kilojoule / mole	1.0
ASPARTATEKIN-RXN	ATP + L-ASPARTATE = ADP + L-BETA-ASPARTYL-P	5.0 millimolar / second	22.274273316339418 kilojoule / mole	22.274273152033576 kilojoule / mole	22.274273152033576 kilojoule / mole	9.32452185678621 kilojoule / mole	0.0
2.1.3.1-RXN	D-METHYL-MALONYL-COA + PYRUVATE = OXALACETIC + PROPIONYL-COA	5.0 millimolar / second	713.2433171452171 kilojoule / mole	72.30634165110052 kilojoule / mole	72.30634165110052 kilojoule / mole	27.02576450528602 kilojoule / mole	0.0
RXN-8964	MAL + SUC-COA = CPD-208 + SUC	5.0 millimolar / second	-5.964746905090124 kilojoule / mole	-5.938952188745753 kilojoule / mole	-5.938952188745753 kilojoule / mole	-4.4880422201433126 kilojoule / mole	0.0
METHYLMALONYL-COA-MUT-RXN	METHYL-MALONYL-COA = SUC-COA	5.0 millimolar / second	-8.353466868023588 kilojoule / mole	-8.353467112807445 kilojoule / mole	-8.353467112807445 kilojoule / mole	-7.227387192865858 kilojoule / mole	0.0
ISOCIT-CLEAV-RXN	GLYOX + SUC = THREO-DS-ISO-CITRATE	5.0 millimolar / second	-8.71799324272456 kilojoule / mole	-8.39235642489815 kilojoule / mole	8.722481109822883 kilojoule / mole	11.248261395820752 kilojoule / mole	0.0
ATP-CITRATE-PRO-S--LYASE-RXN	ATP + CIT + CO-A = ACETYL-COA + ADP + OXALACETIC + Pi	5.0 millimolar / second	723.9783827217921 kilojoule / mole	82.8874989105816 kilojoule / mole	65.7726613758606 kilojoule / mole	18.752513039311793 kilojoule / mole	0.0
