reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RXN-18384	C00005 + C00011 + C00894 = C00006 + C01213	5.0 millimolar / second	-40.836293713945 kilojoule / mole	-40.787998961761645 kilojoule / mole	-23.673161427040615 kilojoule / mole	-19.03796499727135 kilojoule / mole	0.0
GCVMULTI-RXN-GLY/THF/NAD//METHYLENE-THF/AMMONIUM/CARBON-DIOXIDE/NADH.56.	C00004 + C00011 + C00014 + C00143 = C00003 + C00037 + C00101	5.0 millimolar / second	-22.18646711534643 kilojoule / mole	-22.101696357647718 kilojoule / mole	-4.986858822926684 kilojoule / mole	9.238549386586335 kilojoule / mole	0.0
RXN-2881-FORMALDEHYDE/THF//METHYLENE-THF/WATER.38.	C00067 + C00101 = C00001 + C00143	5.0 millimolar / second	-25.355278707548877 kilojoule / mole	-25.342881612570753 kilojoule / mole	-8.228044077849722 kilojoule / mole	0.14731335537933724 kilojoule / mole	0.0
RXN-16767	C21424 = C00004	10.0 millimolar / second	0.5321601063815251 kilojoule / mole	3.2448416731555114 kilojoule / mole	3.2448416731555114 kilojoule / mole	15.059351812393038 kilojoule / mole	0.0
ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN-L-ALPHA-ALANINE/2-OXOBUTANOATE//PYRUVATE/CPD-298.49.	C00041 + C00109 = C00022 + C02721	5.0 millimolar / second	34.571516194760434 kilojoule / mole	34.18115727630011 kilojoule / mole	34.18115727630011 kilojoule / mole	18.79336700286671 kilojoule / mole	0.0
2.6.1.35-RXN	C00036 + C00037 = C00048 + C00049	5.0 millimolar / second	5.6888721975165595 kilojoule / mole	5.637313832647474 kilojoule / mole	5.637313832647474 kilojoule / mole	8.567037551634739 kilojoule / mole	0.0
HOMOSERDEAM-RXN	C00263 = C00014 + C00109	5.0 millimolar / second	-63.20180363413033 kilojoule / mole	-62.958277533353815 kilojoule / mole	-80.07311506807484 kilojoule / mole	-74.31025563697462 kilojoule / mole	0.0
HOMOSERDEHYDROG-RXN-HOMO-SER/NAD//L-ASPARTATE-SEMIALDEHYDE/NADH/PROTON.51.	C00004 + C00080 + C00441 = C00003 + C00263	5.0 millimolar / second	-22.520671894942552 kilojoule / mole	-22.52883612975752 kilojoule / mole	-22.52883612975752 kilojoule / mole	19.857907106334633 kilojoule / mole	0.0
N-METHYL-L-AMINO-ACID-OXIDASE-RXN-CPD-298/OXYGEN-MOLECULE/WATER//L-ALPHA-ALANINE/FORMALDEHYDE/HYDROGEN-PEROXIDE.78.	C00001 + C00007 + C02721 = C00027 + C00041 + C00067	5.0 millimolar / second	-68.9962422617597 kilojoule / mole	-49.18987675180879 kilojoule / mole	-66.30471428652982 kilojoule / mole	-41.344752743980116 kilojoule / mole	0.0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	C00005 + C00080 + C03082 = C00006 + C00009 + C00441	5.0 millimolar / second	20.34505342193966 kilojoule / mole	20.34506564848454 kilojoule / mole	3.2302281137635056 kilojoule / mole	20.690710682757206 kilojoule / mole	0.0
RXN-15977	C00007 + C00100 = C00027 + C00894	5.0 millimolar / second	-71.86862986103552 kilojoule / mole	-52.524092779697575 kilojoule / mole	-52.524092779697575 kilojoule / mole	-28.609666888495482 kilojoule / mole	0.0
RXN-16774	C00003 + C00027 = C00007 + C00080 + C21424	10.0 millimolar / second	131.89141496345414 kilojoule / mole	109.68327216177703 kilojoule / mole	109.68327216177703 kilojoule / mole	29.814030315392134 kilojoule / mole	1.0
ASPARTATEKIN-RXN	C00002 + C00049 = C00008 + C03082	5.0 millimolar / second	22.274273316339418 kilojoule / mole	22.27430075794883 kilojoule / mole	22.27430075794883 kilojoule / mole	17.91472158952375 kilojoule / mole	0.0
2.1.3.1-RXN	C00022 + C00683 = C00036 + C00100	5.0 millimolar / second	-2.1831111312283156 kilojoule / mole	-2.0400615852439423 kilojoule / mole	-2.0400615852439423 kilojoule / mole	-1.357723873360698 kilojoule / mole	0.0
METHYLMALONYL-COA-EPIM-RXN	C01213 = C00683	5.0 millimolar / second	-0.15463308194898673 kilojoule / mole	-0.1546382945845841 kilojoule / mole	-0.1546382945845841 kilojoule / mole	0.6008187169739686 kilojoule / mole	0.0
