Reaction ID	Fluxes	Equation(ID)
PEPCARBOX-RXN	5.0	C00288 + C00074 --> C00036 + C00009
OXOGLUTARATE-DEHYDROGENASE-NADP+-RXN	5.0	C00011 + C00005 + C00091 --> C00010 + C00006 + C00026
RXN0-5224	-5.0	C00288 + C00080 <=> C00011 + C00001
SUCCCOASYN-RXN[CCO-CYTOSOL]-SUC/ATP/CO-A//SUC-COA/ADP/Pi.42.	5.0	C00002 + C00010 + C00042 --> C00008 + C00009 + C00091
RXN-12168	5.0	C01732 + C00091 --> C06028 + C00042
METHYLASPARTATE-MUTASE-RXN	-5.0	C03618 <=> C00025
PEPDEPHOS-RXN	5.0	C00002 + C00022 --> C00008 + C00074 + C00080
2.1.3.1-RXN	-5.0	C00683 + C00022 <=> C00036 + C00100
METHYLASPARTATE-AMMONIA-LYASE-RXN	5.0	C03618 <=> C00014 + C01732
GLUTAMATE-DEHYDROGENASE-RXN	-5.0	C00025 + C00003 + C00001 <=> C00014 + C00004 + C00080 + C00026
METHYLMALONYL-COA-MUT-RXN	5.0	C01213 <=> C00091
METHYLMALONYL-COA-EPIM-RXN	-5.0	C01213 <=> C00683
RXN-8960	-5.0	C06027 <=> C06028 + C00001
RXN-8961	5.0	C06027 <=> C00048 + C00100
