Reaction ID	Fluxes	Equation(ID)
RXN-18384	5.0	C00894 + C00011 + C00005 --> C01213 + C00006
PYRUVATE-DEHYDROGENASE-NADP+-RXN	5.0	C00024 + C00011 + C00005 --> C00010 + C00006 + C00022
RXN-16767	-5.0	C00004 <=> C21424
MALYL-COA-LYASE-RXN	5.0	C04348 <=> C00024 + C00048
MALATE-DEH-RXN[CCO-CYTOSOL]-MAL/NAD//OXALACETIC_ACID/NADH/PROTON.50.	-5.0	C00149 + C00003 <=> C00004 + C00036 + C00080
RXN-15977	5.0	C00007 + C00100 --> C00894 + C00027
RXN-16774	-5.0	C21424 + C00007 + C00080 <=> C00027 + C00003
2.1.3.1-RXN	5.0	C00683 + C00022 <=> C00036 + C00100
MALATE--COA-LIGASE-RXN	5.0	C00002 + C00010 + C00149 --> C00008 + C04348 + C00009
METHYLMALONYL-COA-EPIM-RXN	5.0	C01213 <=> C00683
