reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
PROPIONYL-COA-CARBOXY-RXN	C00002 + C00100 + C00288 = C00008 + C00009 + C00080 + C00683	10.0 millimolar / second	-2.7445003681897973 kilojoule / mole	6.046375723577841 kilojoule / mole	6.046375723577841 kilojoule / mole	-22.676310184208766 kilojoule / mole	0.0
PYRUVFORMLY-RXN	C00024 + C00058 = C00010 + C00022	5.0 millimolar / second	19.81002119165261 kilojoule / mole	19.30053596850046 kilojoule / mole	19.30053596850046 kilojoule / mole	-7.036307554066423 kilojoule / mole	0.0
RXN0-5224	C00001 + C00011 = C00080 + C00288	10.0 millimolar / second	-5.187235000808812 kilojoule / mole	-5.376193632577702 kilojoule / mole	-5.376193632577702 kilojoule / mole	-20.631700411219615 kilojoule / mole	0.0
FUMARATE-REDUCTASE-NADH-RXN	C00003 + C00042 = C00004 + C00080 + C00122	5.0 millimolar / second	61.21694462493679 kilojoule / mole	52.40018664754747 kilojoule / mole	52.40018664754747 kilojoule / mole	-6.494628811307425 kilojoule / mole	0.27795
FUMHYDR-RXN[CCO-CYTOSOL]-MAL//FUM/WATER.28.	C00001 + C00122 = C00149	5.0 millimolar / second	-3.4300285975664337 kilojoule / mole	-3.442517463073853 kilojoule / mole	-3.442517463073853 kilojoule / mole	-6.494628811319388 kilojoule / mole	0.27795
HOMOSERDEAM-RXN	C00263 = C00014 + C00109	5.0 millimolar / second	-63.201803634130385 kilojoule / mole	-49.92243492103574 kilojoule / mole	-67.03727245575676 kilojoule / mole	-39.19609872934836 kilojoule / mole	0.0
1.4.1.21-RXN-L-ASPARTATE/NAD/WATER//OXALACETIC_ACID/AMMONIUM/NADH/PROTON.60.	C00004 + C00014 + C00036 + C00080 = C00001 + C00003 + C00049	5.0 millimolar / second	-39.326148937021145 kilojoule / mole	-39.47295367567724 kilojoule / mole	-22.358116140956206 kilojoule / mole	-6.494628815276365 kilojoule / mole	0.09265
KETOBUTFORMLY-RXN	C00010 + C00109 = C00058 + C00100	5.0 millimolar / second	-3.5569274338457717 kilojoule / mole	-3.7385526070177018 kilojoule / mole	-3.7385526070177018 kilojoule / mole	-7.206551615537558 kilojoule / mole	0.0
HOMOSERDEHYDROG-RXN-HOMO-SER/NAD//L-ASPARTATE-SEMIALDEHYDE/NADH/PROTON.51.	C00004 + C00080 + C00441 = C00003 + C00263	5.0 millimolar / second	-22.520671894942552 kilojoule / mole	-24.461120535659386 kilojoule / mole	-24.461120535659386 kilojoule / mole	-6.49462881527449 kilojoule / mole	0.09265
MALYL-COA-LYASE-RXN	C04348 = C00024 + C00048	5.0 millimolar / second	16.1622318415602 kilojoule / mole	17.737864969830504 kilojoule / mole	0.6230274351094707 kilojoule / mole	-7.023315244493574 kilojoule / mole	0.0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	C00005 + C00080 + C03082 = C00006 + C00009 + C00441	5.0 millimolar / second	20.34505342193961 kilojoule / mole	18.358485600952058 kilojoule / mole	1.2436480662310256 kilojoule / mole	-6.494628815279859 kilojoule / mole	0.09265
ASPARTATEKIN-RXN	C00002 + C00049 = C00008 + C03082	5.0 millimolar / second	22.274273316339418 kilojoule / mole	16.31455992162406 kilojoule / mole	16.31455992162406 kilojoule / mole	-6.494628815278117 kilojoule / mole	0.09265
2.1.3.1-RXN	C00022 + C00683 = C00036 + C00100	5.0 millimolar / second	-2.183111131228017 kilojoule / mole	-11.264978124076944 kilojoule / mole	-11.264978124076944 kilojoule / mole	-11.22979691719154 kilojoule / mole	0.0
RXN-8964	C00091 + C00149 = C00042 + C04348	5.0 millimolar / second	-5.964746905089896 kilojoule / mole	-8.921590394754887 kilojoule / mole	-8.921590394754887 kilojoule / mole	-6.494628831209867 kilojoule / mole	0.0245
METHYLMALONYL-COA-MUT-RXN	C01213 = C00091	5.0 millimolar / second	-8.353466868023588 kilojoule / mole	-9.14128947964229 kilojoule / mole	-9.14128947964229 kilojoule / mole	-6.494628831609513 kilojoule / mole	0.0245
METHYLMALONYL-COA-EPIM-RXN	C00683 = C01213	5.0 millimolar / second	0.15463308194898673 kilojoule / mole	-1.4210066602371547 kilojoule / mole	-1.4210066602371547 kilojoule / mole	-6.494628831614685 kilojoule / mole	0.0245
