Reaction ID	Fluxes	Equation(ID)
ACETYL-COA-CARBOXYLTRANSFER-RXN	5.0	C00024 + C00002 + C00288 --> C00008 + C00083 + C00080 + C00009
PEPCARBOX-RXN	5.0	C00288 + C00074 --> C00036 + C00009
RXN0-5224	-10.0	C00288 + C00080 <=> C00011 + C00001
GLYOXYLATE-DEHYDROGENASE-ACYLATING-RXN	-2.5	C00010 + C00048 + C00006 <=> C00005 + C00313 + C00080
RXN-8974	5.0	C00222 + C00005 + C00080 --> C00006 + C01013
RXN0-7075	2.5	C00024 + C00209 <=> C00033 + C00313
RXN-15632-L-LACTATE/NADP//PYRUVATE/NADPH/PROTON.38.	2.5	C00186 + C00006 <=> C00005 + C00080 + C00022
MALYL-COA-LYASE-RXN	2.5	C04348 <=> C00024 + C00048
OXALOACETASE-RXN	2.5	C00036 + C00001 --> C00033 + C00209 + C00080
RXN-9086	5.0	C00002 + C00010 + C01013 --> C00020 + C00013 + C05668
PEPDEPHOS-RXN	5.0	C00002 + C00022 --> C00008 + C00074 + C00080
RXN-781	-5.0	C00827 <=> C00894 + C00001
RXN-8963	-5.0	C00010 + C00222 + C00006 <-- C00083 + C00005 + C00080
MALATE--COA-LIGASE-RXN	2.5	C00002 + C00010 + C00149 --> C00008 + C04348 + C00009
RXN-6383	5.0	C05668 <=> C00894 + C00001
RXN-15724	-5.0	C00024 + C00186 <=> C00033 + C00827
LACTATE-MALATE-TRANSHYDROGENASE-RXN	2.5	C00186 + C00036 <=> C00149 + C00022
