reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RXN-18384	C00005 + C00011 + C00894 = C00006 + C01213	10.0 millimolar / second	-40.836293713945 kilojoule / mole	-40.782133804718924 kilojoule / mole	-23.66729626999789 kilojoule / mole	-4.598102796390441 kilojoule / mole	0.0
PYRUVFORMLY-RXN	C00024 + C00058 = C00010 + C00022	5.0 millimolar / second	19.81002119165261 kilojoule / mole	19.839083014880035 kilojoule / mole	19.839083014880035 kilojoule / mole	11.84433745644946 kilojoule / mole	0.0
RXN-16767	C21424 = C00004	10.0 millimolar / second	0.5321601063815251 kilojoule / mole	3.573050109355461 kilojoule / mole	3.573050109355461 kilojoule / mole	17.165860650370423 kilojoule / mole	0.0
FUMARATE-REDUCTASE-NADH-RXN	C00003 + C00042 = C00004 + C00080 + C00122	5.0 millimolar / second	61.21694462493679 kilojoule / mole	61.15254443673162 kilojoule / mole	61.15254443673162 kilojoule / mole	12.66046057075316 kilojoule / mole	0.0
FUMHYDR-RXN[CCO-CYTOSOL]-MAL//FUM/WATER.28.	C00001 + C00122 = C00149	5.0 millimolar / second	-3.4300285975664337 kilojoule / mole	-3.428857909181983 kilojoule / mole	-3.428857909181983 kilojoule / mole	-0.9114731910380097 kilojoule / mole	0.0
1.7.1.9-RXN-4-HYDROXYAMINOQUINOLINE-N-OXIDE/NADP/WATER//4-NITROQUINOLINE-N-OXIDE/NADPH/PROTON.82.	C00001 + 2 C00006 + C04050 = 2 C00005 + 2 C00080 + C03474	2.5 millimolar / second	201.9455101639078 kilojoule / mole	133.58826502847137 kilojoule / mole	133.58826502847137 kilojoule / mole	27.062826322224055 kilojoule / mole	0.0
1.7.1.9-RXN-4-HYDROXYAMINOQUINOLINE-N-OXIDE/NAD/WATER//4-NITROQUINOLINE-N-OXIDE/NADH/PROTON.80.	2 C00004 + 2 C00080 + C03474 = C00001 + 2 C00003 + C04050	2.5 millimolar / second	-202.2066202319102 kilojoule / mole	-133.87687921768548 kilojoule / mole	-133.87687921768548 kilojoule / mole	-31.948828054013717 kilojoule / mole	0.0
HOMOSERDEAM-RXN	C00263 = C00014 + C00109	5.0 millimolar / second	-63.201803634130385 kilojoule / mole	-62.92871137804987 kilojoule / mole	-80.0435489127709 kilojoule / mole	-73.60899739861122 kilojoule / mole	0.0
1.4.1.21-RXN-L-ASPARTATE/NAD/WATER//OXALACETIC_ACID/AMMONIUM/NADH/PROTON.60.	C00004 + C00014 + C00036 + C00080 = C00001 + C00003 + C00049	5.0 millimolar / second	-39.32614893702117 kilojoule / mole	-39.32623972792071 kilojoule / mole	-22.211402193199675 kilojoule / mole	18.325473884577626 kilojoule / mole	0.0
KETOBUTFORMLY-RXN	C00010 + C00109 = C00058 + C00100	5.0 millimolar / second	-3.5569274338458854 kilojoule / mole	-3.457671718523355 kilojoule / mole	-3.457671718523355 kilojoule / mole	-2.1121860641519117 kilojoule / mole	0.0
HOMOSERDEHYDROG-RXN-HOMO-SER/NAD//L-ASPARTATE-SEMIALDEHYDE/NADH/PROTON.51.	C00004 + C00080 + C00441 = C00003 + C00263	5.0 millimolar / second	-22.520671894942552 kilojoule / mole	-22.529839932953756 kilojoule / mole	-22.529839932953756 kilojoule / mole	19.991540716943497 kilojoule / mole	0.0
MALYL-COA-LYASE-RXN	C04348 = C00024 + C00048	5.0 millimolar / second	16.1622318415602 kilojoule / mole	16.16223184113619 kilojoule / mole	-0.9526056935848439 kilojoule / mole	-3.393789768415439 kilojoule / mole	0.0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	C00005 + C00080 + C03082 = C00006 + C00009 + C00441	5.0 millimolar / second	20.34505342193966 kilojoule / mole	20.345053420694146 kilojoule / mole	3.2302158859731134 kilojoule / mole	25.746017937437475 kilojoule / mole	0.0
RXN-15977	C00007 + C00100 = C00027 + C00894	10.0 millimolar / second	-71.86862986103537 kilojoule / mole	-50.183485449755224 kilojoule / mole	-50.183485449755224 kilojoule / mole	-26.63665157192584 kilojoule / mole	0.0
RXN-16774	C00003 + C00027 = C00007 + C00080 + C21424	10.0 millimolar / second	131.89141496345414 kilojoule / mole	106.99620661870023 kilojoule / mole	106.99620661870023 kilojoule / mole	27.126964786615112 kilojoule / mole	1.0
ASPARTATEKIN-RXN	C00002 + C00049 = C00008 + C03082	5.0 millimolar / second	22.274273316339418 kilojoule / mole	22.27427332327329 kilojoule / mole	22.27427332327329 kilojoule / mole	19.2230947272871 kilojoule / mole	0.0
2.1.3.1-RXN	C00022 + C00683 = C00036 + C00100	5.0 millimolar / second	-2.1831111312283156 kilojoule / mole	-2.022785409209864 kilojoule / mole	-2.022785409209864 kilojoule / mole	1.3682375066107282 kilojoule / mole	0.0
RXN-8964	C00091 + C00149 = C00042 + C04348	5.0 millimolar / second	-5.964746905089896 kilojoule / mole	-5.938951957336296 kilojoule / mole	-5.938951957336296 kilojoule / mole	-4.860770384902887 kilojoule / mole	0.0
METHYLMALONYL-COA-MUT-RXN	C01213 = C00091	5.0 millimolar / second	-8.353466868023588 kilojoule / mole	-8.353466867976836 kilojoule / mole	-8.353466867976836 kilojoule / mole	-6.281940994186743 kilojoule / mole	0.0
METHYLMALONYL-COA-EPIM-RXN	C01213 = C00683	5.0 millimolar / second	-0.15463308194898673 kilojoule / mole	-0.15463308281117683 kilojoule / mole	-0.15463308281117683 kilojoule / mole	1.909725570351158 kilojoule / mole	0.0
