reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
PROPIONYL-COA-CARBOXY-RXN	C00002 + C00100 + C00288 = C00008 + C00009 + C00080 + C00683	5.0 millimolar / second	-2.7445003681897973 kilojoule / mole	-2.9299574463846136 kilojoule / mole	-2.9299574463846136 kilojoule / mole	-38.9597475688738 kilojoule / mole	0.0
GCVMULTI-RXN-GLY/THF/NAD//METHYLENE-THF/AMMONIUM/CARBON-DIOXIDE/NADH.56.	C00004 + C00011 + C00014 + C00143 = C00003 + C00037 + C00101	5.0 millimolar / second	-22.18646711534643 kilojoule / mole	-22.10395804358165 kilojoule / mole	-4.989120508860615 kilojoule / mole	8.868491055732244 kilojoule / mole	0.0
RXN-2881-FORMALDEHYDE/THF//METHYLENE-THF/WATER.38.	C00067 + C00101 = C00001 + C00143	5.0 millimolar / second	-25.355278707548877 kilojoule / mole	-25.34321121166631 kilojoule / mole	-8.22837367694528 kilojoule / mole	0.8922307939016628 kilojoule / mole	0.0
RXN0-5224	C00001 + C00011 = C00080 + C00288	5.0 millimolar / second	-5.187235000808812 kilojoule / mole	-5.121755572927328 kilojoule / mole	-5.121755572927328 kilojoule / mole	-36.01291884185281 kilojoule / mole	0.0
RXN-16767	C21424 = C00004	5.0 millimolar / second	0.5321601063815251 kilojoule / mole	3.1727575247266953 kilojoule / mole	3.1727575247266953 kilojoule / mole	14.242569286134835 kilojoule / mole	0.0
ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN-L-ALPHA-ALANINE/2-OXOBUTANOATE//PYRUVATE/CPD-298.49.	C00041 + C00109 = C00022 + C02721	5.0 millimolar / second	34.571516194760434 kilojoule / mole	34.19162984264103 kilojoule / mole	34.19162984264103 kilojoule / mole	18.6317266625205 kilojoule / mole	0.0
2.6.1.35-RXN	C00036 + C00037 = C00048 + C00049	5.0 millimolar / second	5.6888721975165595 kilojoule / mole	5.638686452886487 kilojoule / mole	5.638686452886487 kilojoule / mole	9.390519088119337 kilojoule / mole	0.0
HOMOSERDEAM-RXN	C00263 = C00014 + C00109	5.0 millimolar / second	-63.20180363413033 kilojoule / mole	-62.96486069100513 kilojoule / mole	-80.07969822572616 kilojoule / mole	-74.37520609732225 kilojoule / mole	0.0
HOMOSERDEHYDROG-RXN-HOMO-SER/NAD//L-ASPARTATE-SEMIALDEHYDE/NADH/PROTON.51.	C00004 + C00080 + C00441 = C00003 + C00263	5.0 millimolar / second	-22.520671894942552 kilojoule / mole	-22.52859945345792 kilojoule / mole	-22.52859945345792 kilojoule / mole	19.520949898271724 kilojoule / mole	0.0
N-METHYL-L-AMINO-ACID-OXIDASE-RXN-CPD-298/OXYGEN-MOLECULE/WATER//L-ALPHA-ALANINE/FORMALDEHYDE/HYDROGEN-PEROXIDE.78.	C00001 + C00007 + C02721 = C00027 + C00041 + C00067	5.0 millimolar / second	-68.9962422617597 kilojoule / mole	-49.71635186691702 kilojoule / mole	-66.83118940163806 kilojoule / mole	-41.6785535748677 kilojoule / mole	0.0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	C00005 + C00080 + C03082 = C00006 + C00009 + C00441	5.0 millimolar / second	20.34505342193961 kilojoule / mole	20.345079439392887 kilojoule / mole	3.230241904671852 kilojoule / mole	21.253973005357455 kilojoule / mole	0.0
RXN-16774	C00003 + C00027 = C00007 + C00080 + C21424	5.0 millimolar / second	131.89141496345414 kilojoule / mole	110.2735107655976 kilojoule / mole	110.2735107655976 kilojoule / mole	30.404268904950797 kilojoule / mole	1.0
ASPARTATEKIN-RXN	C00002 + C00049 = C00008 + C03082	5.0 millimolar / second	22.274273316339418 kilojoule / mole	22.274331744934166 kilojoule / mole	22.274331744934166 kilojoule / mole	19.334624955453236 kilojoule / mole	0.0
2.1.3.1-RXN	C00022 + C00683 = C00036 + C00100	5.0 millimolar / second	-2.183111131228017 kilojoule / mole	-2.0438252143144324 kilojoule / mole	-2.0438252143144324 kilojoule / mole	-1.149878973320167 kilojoule / mole	0.0
