Reaction ID	Fluxes	Equation(ID)
ACETYL-COA-CARBOXYLTRANSFER-RXN	5.0	C00024 + C00002 + C00288 --> C00008 + C00083 + C00080 + C00009
RXN-8457	5.0	C00002 + C00011 + C00001 + C00026 --> C00008 + C05379 + 2.0 C00080 + C00009
RXN0-5224	-5.0	C00288 + C00080 <=> C00011 + C00001
HYDGLUTSYN-RXN	5.0	C00048 + C00100 + C00001 --> C00010 + C00080 + C02630
RXN-8974	5.0	C00222 + C00005 + C00080 --> C00006 + C01013
FUMARATE-REDUCTASE-NADH-RXN	5.0	C00003 + C00042 <=> C00122 + C00004 + C00080
FUMHYDR-RXN[CCO-CYTOSOL]-MAL//FUM/WATER.28.	-5.0	C00149 <=> C00122 + C00001
1.7.1.9-RXN-4-HYDROXYAMINOQUINOLINE-N-OXIDE/NADP/WATER//4-NITROQUINOLINE-N-OXIDE/NADPH/PROTON.82.	2.5	2.0 C00006 + C00001 + C04050 <=> 2.0 C00005 + 2.0 C00080 + C03474
1.7.1.9-RXN-4-HYDROXYAMINOQUINOLINE-N-OXIDE/NAD/WATER//4-NITROQUINOLINE-N-OXIDE/NADH/PROTON.80.	-2.5	2.0 C00003 + C00001 + C04050 <=> 2.0 C00004 + 2.0 C00080 + C03474
RXN-14103	5.0	C00016 + C00080 + C02630 <=> C01352 + C00026
MALYL-COA-LYASE-RXN	5.0	C04348 <=> C00024 + C00048
R23-RXN	5.0	C00004 + C05379 + C00080 --> C00003 + C00311
RXN-8968	5.0	C00002 + C00010 + C00005 + C00080 + C01013 --> C00020 + C00006 + C00013 + C00100 + C00001
RXN-8963	-5.0	C00010 + C00222 + C00006 <-- C00083 + C00005 + C00080
MALATE--COA-LIGASE-RXN	5.0	C00002 + C00010 + C00149 --> C00008 + C04348 + C00009
ISOCIT-CLEAV-RXN	5.0	C00311 <=> C00048 + C00042
