Reaction ID	Fluxes	Equation(ID)
PEPCARBOX-RXN	5.0	C00288 + C00074 --> C00036 + C00009
RXN-13029	5.0	C00136 + C00011 --> C18026 + C00080
RXN0-5224	-5.0	C00288 + C00080 <=> C00011 + C00001
RXN-9092	5.0	C00002 + C00010 + C00989 --> C00020 + C00013 + C11062
PEPDEPHOS-RXN	5.0	C00002 + C00022 --> C00008 + C00074 + C00080
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	5.0	C00004 + C00080 + C00232 --> C00003 + C00989
2.1.3.1-RXN	-5.0	C00683 + C00022 <=> C00036 + C00100
METHYLMALONYL-COA-MUT-RXN	5.0	C01213 <=> C00091
RXN-16391	5.0	C18026 --> C20238
RXN-8958	5.0	C20238 --> C18324
METHYLMALONYL-COA-EPIM-RXN	-5.0	C01213 <=> C00683
BUTYRYL-COA-DEHYDROGENASE-RXN	5.0	C00877 + ETF__45__Reduced_c --> C00136 + C04253 + C00080
RXN-8960	-5.0	C06027 <=> C06028 + C00001
RXN-8890	5.0	C11062 <=> C00877 + C00001
RXN-8959	5.0	C18324 + C04253 + C00080 --> C06028 + ETF__45__Reduced_c
RXN-8961	5.0	C06027 <=> C00048 + C00100
RXN-8891	5.0	C00005 + C00080 + C00091 --> C00010 + C00006 + C00232
