reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
ACETYL-COA-CARBOXYLTRANSFER-RXN	C00002 + C00024 + C00288 = C00008 + C00009 + C00080 + C00083	5.0 millimolar / second	-6.819476712687852 kilojoule / mole	-4.720040622093993 kilojoule / mole	-4.720040622093993 kilojoule / mole	-35.588192525304166 kilojoule / mole	0.0
RXN-8457	C00001 + C00002 + C00011 + C00026 = C00008 + C00009 + 2 C00080 + C05379	5.0 millimolar / second	-14.212150054010706 kilojoule / mole	-14.09606637733881 kilojoule / mole	-14.09606637733881 kilojoule / mole	-65.06424250405065 kilojoule / mole	0.0
RXN0-5224	C00001 + C00011 = C00080 + C00288	5.0 millimolar / second	-5.187235000808812 kilojoule / mole	-5.7545810612291515 kilojoule / mole	-5.7545810612291515 kilojoule / mole	-31.04785080167464 kilojoule / mole	0.0
HYDGLUTSYN-RXN	C00001 + C00048 + C00100 = C00010 + C00080 + C02630	5.0 millimolar / second	-39.55379493750601 kilojoule / mole	-38.8398439869391 kilojoule / mole	-38.8398439869391 kilojoule / mole	-49.50164774374221 kilojoule / mole	0.0
RXN-8974	C00005 + C00080 + C00222 = C00006 + C01013	5.0 millimolar / second	-23.328358352916467 kilojoule / mole	-23.389461202004593 kilojoule / mole	-23.389461202004593 kilojoule / mole	-3.5651159244097066 kilojoule / mole	0.125
FUMARATE-REDUCTASE-NADH-RXN	C00003 + C00042 = C00004 + C00080 + C00122	5.0 millimolar / second	61.21694462493679 kilojoule / mole	53.00871771232221 kilojoule / mole	53.00871771232221 kilojoule / mole	-3.5651159240138863 kilojoule / mole	0.25
FUMHYDR-RXN[CCO-CYTOSOL]-MAL//FUM/WATER.28.	C00001 + C00122 = C00149	5.0 millimolar / second	-3.4300285975664337 kilojoule / mole	-3.4731831273046763 kilojoule / mole	-3.4731831273046763 kilojoule / mole	-3.565115923986881 kilojoule / mole	0.25
1.7.1.9-RXN-4-HYDROXYAMINOQUINOLINE-N-OXIDE/NADP/WATER//4-NITROQUINOLINE-N-OXIDE/NADPH/PROTON.82.	C00001 + 2 C00006 + C04050 = 2 C00005 + 2 C00080 + C03474	2.5 millimolar / second	201.94551016390827 kilojoule / mole	74.75734948942693 kilojoule / mole	74.75734948942693 kilojoule / mole	-3.565115910806597 kilojoule / mole	0.125
1.7.1.9-RXN-4-HYDROXYAMINOQUINOLINE-N-OXIDE/NAD/WATER//4-NITROQUINOLINE-N-OXIDE/NADH/PROTON.80.	2 C00004 + 2 C00080 + C03474 = C00001 + 2 C00003 + C04050	2.5 millimolar / second	-202.20662023191042 kilojoule / mole	-74.89623060698057 kilojoule / mole	-74.89623060698057 kilojoule / mole	-3.565115910806412 kilojoule / mole	0.125
RXN-14103	C00016 + C00080 + C02630 = C00026 + C01352	5.0 millimolar / second	-0.14907495812690286 kilojoule / mole	0.2106864579956979 kilojoule / mole	0.2106864579956979 kilojoule / mole	-7.382671175727959 kilojoule / mole	0.0
MALYL-COA-LYASE-RXN	C04348 = C00024 + C00048	5.0 millimolar / second	16.16223184156047 kilojoule / mole	15.627868979806014 kilojoule / mole	-1.4869685549150207 kilojoule / mole	-16.678384241202618 kilojoule / mole	0.0
R23-RXN	C00004 + C00080 + C05379 = C00003 + C00311	5.0 millimolar / second	-18.759583182588273 kilojoule / mole	-19.196365096905367 kilojoule / mole	-19.196365096905367 kilojoule / mole	-3.582106745262638 kilojoule / mole	0.0
RXN-8968	C00002 + C00005 + C00010 + C00080 + C01013 = C00001 + C00006 + C00013 + C00020 + C00100	5.0 millimolar / second	-60.75613024174531 kilojoule / mole	-49.47229253970801 kilojoule / mole	-49.47229253970801 kilojoule / mole	-13.326588741318066 kilojoule / mole	0.0
RXN-8963	C00005 + C00080 + C00083 = C00006 + C00010 + C00222	5.0 millimolar / second	9.9079331908747 kilojoule / mole	-1.3746290111642168 kilojoule / mole	-18.48946654588525 kilojoule / mole	-3.5651159243767365 kilojoule / mole	0.125
MALATE--COA-LIGASE-RXN	C00002 + C00010 + C00149 = C00008 + C00009 + C04348	5.0 millimolar / second	-7.716096846263781 kilojoule / mole	-6.855218194701406 kilojoule / mole	-6.855218194701406 kilojoule / mole	-9.792813333147402 kilojoule / mole	0.0
ISOCIT-CLEAV-RXN	C00311 = C00042 + C00048	5.0 millimolar / second	9.519832192639427 kilojoule / mole	12.367376304059821 kilojoule / mole	-4.747461230661212 kilojoule / mole	-3.600879824672738 kilojoule / mole	0.0
