reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
PEPCARBOX-RXN	C00074 + C00288 = C00009 + C00036	5.0 millimolar / second	-32.510934857724 kilojoule / mole	-31.15658979946923 kilojoule / mole	-31.15658979946923 kilojoule / mole	-22.45738870968703 kilojoule / mole	0.0
OXOGLUTARATE-DEHYDROGENASE-NADP+-RXN	C00005 + C00011 + C00091 = C00006 + C00010 + C00026	5.0 millimolar / second	28.131231071569715 kilojoule / mole	23.293281553519403 kilojoule / mole	23.293281553519403 kilojoule / mole	-11.802833418122301 kilojoule / mole	0.02557
RXN0-5224	C00001 + C00011 = C00080 + C00288	5.0 millimolar / second	-5.187235000808812 kilojoule / mole	-11.579501673802085 kilojoule / mole	-11.579501673802085 kilojoule / mole	-36.459150030211006 kilojoule / mole	0.0
SUCCCOASYN-RXN[CCO-CYTOSOL]-SUC/ATP/CO-A//SUC-COA/ADP/Pi.42.	C00002 + C00010 + C00042 = C00008 + C00009 + C00091	5.0 millimolar / second	-1.7513499411737712 kilojoule / mole	-1.2593817624534418 kilojoule / mole	-1.2593817624534418 kilojoule / mole	-11.802833442202195 kilojoule / mole	0.01227
RXN-12168	C00091 + C01732 = C00042 + C06028	5.0 millimolar / second	-1.0483192703475197 kilojoule / mole	-1.893273614550894 kilojoule / mole	-1.893273614550894 kilojoule / mole	-11.802833401383207 kilojoule / mole	0.09345
METHYLASPARTATE-MUTASE-RXN	C00025 = C03618	5.0 millimolar / second	6.9883666004500355 kilojoule / mole	6.0861574941545085 kilojoule / mole	6.0861574941545085 kilojoule / mole	-11.802833401569234 kilojoule / mole	0.09345
PEPDEPHOS-RXN	C00002 + C00022 = C00008 + C00074 + C00080	5.0 millimolar / second	27.5833233583064 kilojoule / mole	27.197399207490964 kilojoule / mole	27.197399207490964 kilojoule / mole	-11.80283340159976 kilojoule / mole	0.09345
2.1.3.1-RXN	C00036 + C00100 = C00022 + C00683	5.0 millimolar / second	2.1831111312283156 kilojoule / mole	4.871490962296988 kilojoule / mole	4.871490962296988 kilojoule / mole	-11.802833401089618 kilojoule / mole	0.09381
METHYLASPARTATE-AMMONIA-LYASE-RXN	C03618 = C00014 + C01732	5.0 millimolar / second	4.48362875057893 kilojoule / mole	4.032518363166766 kilojoule / mole	-13.082319171554268 kilojoule / mole	-11.802833401595784 kilojoule / mole	0.09345
GLUTAMATE-DEHYDROGENASE-RXN	C00004 + C00014 + C00026 + C00080 = C00001 + C00003 + C00025	5.0 millimolar / second	-36.481574543703346 kilojoule / mole	-36.5210662007515 kilojoule / mole	-19.406228666030465 kilojoule / mole	-11.802833401620601 kilojoule / mole	0.09345
METHYLMALONYL-COA-MUT-RXN	C01213 = C00091	5.0 millimolar / second	-8.353466868023588 kilojoule / mole	-9.976596782495054 kilojoule / mole	-9.976596782495054 kilojoule / mole	-11.802833400734075 kilojoule / mole	0.10675
METHYLMALONYL-COA-EPIM-RXN	C00683 = C01213	5.0 millimolar / second	0.15463308194898673 kilojoule / mole	-3.0856183819528296 kilojoule / mole	-3.0856183819528296 kilojoule / mole	-11.802833400729071 kilojoule / mole	0.10675
RXN-8960	C00001 + C06028 = C06027	5.0 millimolar / second	3.686969438274673 kilojoule / mole	3.6024313085997544 kilojoule / mole	3.6024313085997544 kilojoule / mole	-11.802833401523523 kilojoule / mole	0.09381
RXN-8961	C06027 = C00048 + C00100	5.0 millimolar / second	15.049597135860907 kilojoule / mole	13.167032164523112 kilojoule / mole	-3.94780537019792 kilojoule / mole	-11.802833401504179 kilojoule / mole	0.09381
