reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RXN-8957	C00005 + C00011 + C00877 = C00006 + C18026	5.0 millimolar / second	-39.850515858687686 kilojoule / mole	-37.32392247632264 kilojoule / mole	-20.209084941601606 kilojoule / mole	-14.778253279045995 kilojoule / mole	0.0
PYRUVATE-CARBOXYLASE-RXN	C00002 + C00022 + C00288 = C00008 + C00009 + C00036 + C00080	5.0 millimolar / second	-4.927611499417402 kilojoule / mole	-4.843751365207092 kilojoule / mole	-4.843751365207092 kilojoule / mole	-27.622065384203985 kilojoule / mole	0.0
RXN0-5224	C00001 + C00011 = C00080 + C00288	5.0 millimolar / second	-5.187235000808812 kilojoule / mole	-5.262227000927724 kilojoule / mole	-5.262227000927724 kilojoule / mole	-24.959972220663307 kilojoule / mole	0.0
PHOSACETYLTRANS-RXN	C00010 + C00227 = C00009 + C00024	5.0 millimolar / second	-8.87898156028632 kilojoule / mole	-8.838752507142297 kilojoule / mole	-8.838752507142297 kilojoule / mole	-10.308277279903079 kilojoule / mole	0.0
RXN-12957	C00028 + C00527 = C00030 + C02411	5.0 millimolar / second	-4.271996296595717 kilojoule / mole	-60.98400920682399 kilojoule / mole	-60.98400920682399 kilojoule / mole	-39.49710785247624 kilojoule / mole	0.0
RXN-7566	C00009 + C00037 + C00080 + C00342 = C00001 + C00014 + C00227 + C00343	5.0 millimolar / second	-2.7069868415694174 kilojoule / mole	-1.3809362650960757 kilojoule / mole	-1.3809362650960757 kilojoule / mole	-10.567219501571707 kilojoule / mole	0.0
MALYL-COA-LYASE-RXN	C04348 = C00024 + C00048	5.0 millimolar / second	16.1622318415602 kilojoule / mole	16.120440435350286 kilojoule / mole	-0.9943970993707489 kilojoule / mole	-11.282978681661413 kilojoule / mole	0.0
RXN-11667	C01144 = C00001 + C00877	5.0 millimolar / second	3.27591793251122 kilojoule / mole	3.3037804468106797 kilojoule / mole	3.3037804468106797 kilojoule / mole	-10.761273386613016 kilojoule / mole	0.0
RXN-11662	C00004 + C00080 + C00332 = C00003 + C01144	5.0 millimolar / second	-16.889474845328778 kilojoule / mole	-16.86857730649284 kilojoule / mole	-16.86857730649284 kilojoule / mole	-10.864756159462289 kilojoule / mole	0.0
MALATE-DEHYDROGENASE-NADP+-RXN	C00005 + C00036 + C00080 = C00006 + C00149	5.0 millimolar / second	-29.427656131423902 kilojoule / mole	-29.451211249448775 kilojoule / mole	-29.451211249448775 kilojoule / mole	-26.55094876610067 kilojoule / mole	0.0
RXN-13230	C06028 = C18323	5.0 millimolar / second	1.3574208423960954e-10 kilojoule / mole	1.3574208423960954e-10 kilojoule / mole	1.3574208423960954e-10 kilojoule / mole	-9.611502774518906 kilojoule / mole	0.16573
RXN-8965	C00001 + C18323 = C01011	5.0 millimolar / second	-0.3988046682220556 kilojoule / mole	-7.55310423523757 kilojoule / mole	-7.55310423523757 kilojoule / mole	-9.611502774518705 kilojoule / mole	0.16573
GLUTARYL-COA-DEHYDROG-RXN	C02411 + ETF__45__Reduced = C00080 + C00527 + C04253	5.0 millimolar / second	4.271996296595717 kilojoule / mole	24.73614800553251 kilojoule / mole	24.73614800553251 kilojoule / mole	-9.611502357255898 kilojoule / mole	0.16573
MALATE--COA-LIGASE-RXN	C00002 + C00010 + C00149 = C00008 + C00009 + C04348	5.0 millimolar / second	-7.716096846263554 kilojoule / mole	-7.07434226119095 kilojoule / mole	-7.07434226119095 kilojoule / mole	-15.359131588080107 kilojoule / mole	0.0
CITRAMALYL-COA-LYASE-RXN	C01011 = C00022 + C00024	5.0 millimolar / second	7.059838100394472 kilojoule / mole	7.326639963270363 kilojoule / mole	-9.78819757145067 kilojoule / mole	-9.611503474664083 kilojoule / mole	0.00373
ACETYL-COA-ACETYLTRANSFER-RXN	2 C00024 = C00010 + C00332	5.0 millimolar / second	24.96121615861489 kilojoule / mole	24.971554811441493 kilojoule / mole	24.971554811441493 kilojoule / mole	-9.611504188834678 kilojoule / mole	0.00186
RXN-16391	C18026 = C20238	5.0 millimolar / second	0.0 kilojoule / mole	0.0 kilojoule / mole	0.0 kilojoule / mole	-9.611502774495365 kilojoule / mole	0.16573
RXN-8958	C20238 = C18324	5.0 millimolar / second	0.0 kilojoule / mole	0.0 kilojoule / mole	0.0 kilojoule / mole	-9.611502774495463 kilojoule / mole	0.16573
GLYCINE-DEHYDROGENASE-RXN	C00004 + C00014 + C00048 + C00080 = C00001 + C00003 + C00037	5.0 millimolar / second	-45.01502113453785 kilojoule / mole	-44.824135769072754 kilojoule / mole	-27.709298234351724 kilojoule / mole	-11.351147460675524 kilojoule / mole	0.0
RXN-8959	C00080 + C04253 + C18324 = C06028 + ETF__45__Reduced	5.0 millimolar / second	-7.5268491326257845 kilojoule / mole	-29.21249288157489 kilojoule / mole	-29.21249288157489 kilojoule / mole	-9.611502357255887 kilojoule / mole	0.16573
