Reaction ID	Fluxes	Equation(ID)
PYRUVATE-CARBOXYLASE-RXN	5.0	C00002 + C00288 + C00022 --> C00008 + C00036 + C00080 + C00009
RXN-13029	5.0	C00136 + C00011 --> C18026 + C00080
RXN0-5224	-5.0	C00288 + C00080 <=> C00011 + C00001
FUMARATE-REDUCTASE-NADH-RXN	-5.0	C00003 + C00042 <=> C00122 + C00004 + C00080
1.4.1.21-RXN-L-ASPARTATE/NADP/WATER//OXALACETIC_ACID/AMMONIUM/NADPH/PROTON.62.	-5.0	C00049 + C00006 + C00001 <=> C00014 + C00005 + C00036 + C00080
RXN-9092	5.0	C00002 + C00010 + C00989 --> C00020 + C00013 + C11062
SUCCCOASYN-RXN[CCO-CYTOSOL]-SUC/ATP/CO-A//SUC-COA/ADP/Pi.42.	5.0	C00002 + C00010 + C00042 --> C00008 + C00009 + C00091
RXN-13230	5.0	C06028 <=> C18323
RXN-8965	5.0	C18323 + C00001 --> C01011
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	5.0	C00004 + C00080 + C00232 --> C00003 + C00989
CITRAMALYL-COA-LYASE-RXN	5.0	C01011 --> C00024 + C00022
RXN-16391	5.0	C18026 --> C20238
RXN-8958	5.0	C20238 --> C18324
ASPARTASE-RXN	5.0	C00049 --> C00014 + C00122
BUTYRYL-COA-DEHYDROGENASE-RXN	5.0	C00877 + ETF__45__Reduced_c --> C00136 + C04253 + C00080
RXN-8890	5.0	C11062 <=> C00877 + C00001
RXN-8959	5.0	C18324 + C04253 + C00080 --> C06028 + ETF__45__Reduced_c
RXN-8891	5.0	C00005 + C00080 + C00091 --> C00010 + C00006 + C00232
