Reaction ID	Fluxes	Equation(ID)
RXN-8957	5.0	C00011 + C00877 + C00005 --> C18026 + C00006
PROPIONYL-COA-CARBOXY-RXN	5.0	C00002 + C00288 + C00100 --> C00008 + C00683 + C00080 + C00009
RXN0-5224	-5.0	C00288 + C00080 <=> C00011 + C00001
PHOSACETYLTRANS-RXN	-5.0	C00024 + C00009 <=> C00227 + C00010
RXN-12957	5.0	C00028 + C00527 <=> C00030 + C02411
RXN-7566	5.0	C00037 + C00080 + C00009 + C00342 --> C00227 + C00014 + C00343 + C00001
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	5.0	C00004 + C00080 + C00232 --> C00003 + C00989
GLUTARYL-COA-DEHYDROG-RXN	-5.0	C04253 + C00527 + C00080 <=> ETF__45__Reduced_c + C02411
METHYLMALONYL-COA-MUT-RXN	5.0	C01213 <=> C00091
RXN-16391	5.0	C18026 --> C20238
RXN-8958	5.0	C20238 --> C18324
GLYCINE-DEHYDROGENASE-RXN	-5.0	C00037 + C00003 + C00001 <=> C00014 + C00048 + C00004 + C00080
METHYLMALONYL-COA-EPIM-RXN	-5.0	C01213 <=> C00683
RXN-8960	-5.0	C06027 <=> C06028 + C00001
ACETATE--COA-LIGASE-ADP-FORMING-RXN	5.0	C00033 + C00002 + C00010 --> C00024 + C00008 + C00009
RXN-8890	5.0	C11062 <=> C00877 + C00001
RXN-8959	5.0	C18324 + C04253 + C00080 --> C06028 + ETF__45__Reduced_c
RXN-8961	5.0	C06027 <=> C00048 + C00100
RXN-8889	5.0	C00024 + C00989 --> C00033 + C11062
RXN-8891	5.0	C00005 + C00080 + C00091 --> C00010 + C00006 + C00232
