Reaction ID	Fluxes	Equation(ID)
RXN-9952	10.0	C00011 + C00005 + C00199 --> C00345 + C00006
FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN	5.0	C05345 + C00009 --> C00227 + C00279 + C00001
RXN0-313	-5.0	C05345 <=> C00184 + C00118
PGLUCONDEHYDRAT-RXN	10.0	C00345 --> C00001 + C04442
2PGADEHYDRAT-RXN	-10.0	C00631 <=> C00074 + C00001
PHOSACETYLTRANS-RXN	-5.0	C00024 + C00009 <=> C00227 + C00010
SEDOBISALDOL-RXN	5.0	C00111 + C00279 <=> C00447
PHOSGLYPHOS-RXN	10.0	C00002 + C00197 <=> C00008 + C00236
SEDOHEPTULOSE-BISPHOSPHATASE-RXN	5.0	C00447 + C00001 --> C05382 + C00009
KDPGALDOL-RXN	10.0	C04442 --> C00118 + C00022
RXN-15513	10.0	C00631 <=> C00197
1TRANSKETO-RXN-D-SEDOHEPTULOSE-7-P/GAP//CPD-16551/XYLULOSE-5-PHOSPHATE.56.	5.0	C05382 + C00118 <=> CPD__45__16551_c + C00231
GAPOXNPHOSPHN-RXN	-10.0	C00118 + C00003 + C00009 <=> C00236 + C00004 + C00080
PEPDEPHOS-RXN	10.0	C00002 + C00022 --> C00008 + C00074 + C00080
TRIOSEPISOMERIZATION-RXN	10.0	C00118 <=> C00111
RIBULP3EPIM-RXN	-5.0	C00199 <=> C00231
RXN0-7249	5.0	C00111 + C00001 --> C00184 + C00009
RIB5PISOM-RXN-CPD-16551//RIBULOSE-5P.23.	5.0	CPD__45__16551_c <=> C00199
