reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	C00001 + C00011 + C01182 = 2 C00080 + 2 C00197	10.0 millimolar / second	-26.393222917870162 kilojoule / mole	-26.139129713078493 kilojoule / mole	-26.139129713078493 kilojoule / mole	-40.703994521956595 kilojoule / mole	0.0
FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN	C00009 + C05345 = C00001 + C00227 + C00279	5.0 millimolar / second	-52.98072247300962 kilojoule / mole	-49.381227696917165 kilojoule / mole	-49.381227696917165 kilojoule / mole	-25.413515433773544 kilojoule / mole	0.0
RXN0-313	C00118 + C00184 = C05345	5.0 millimolar / second	-15.852890804659467 kilojoule / mole	-16.310739409014587 kilojoule / mole	0.8040981257064456 kilojoule / mole	-19.323885234544736 kilojoule / mole	0.0
PHOSACETYLTRANS-RXN	C00010 + C00227 = C00009 + C00024	5.0 millimolar / second	-8.87898156028632 kilojoule / mole	-8.871935918547775 kilojoule / mole	-8.871935918547775 kilojoule / mole	-26.424732366435308 kilojoule / mole	0.0
SEDOBISALDOL-RXN	C00111 + C00279 = C00447	5.0 millimolar / second	-20.836227629645975 kilojoule / mole	-25.043525361120636 kilojoule / mole	-7.928687826399603 kilojoule / mole	-17.927178994696114 kilojoule / mole	0.0
PHOSGLYPHOS-RXN	C00002 + C00197 = C00008 + C00236	20.0 millimolar / second	19.315639861920175 kilojoule / mole	19.310071278422217 kilojoule / mole	19.310071278422217 kilojoule / mole	-17.470182129525934 kilojoule / mole	0.0
SEDOHEPTULOSE-BISPHOSPHATASE-RXN	C00001 + C00447 = C00009 + C05382	5.0 millimolar / second	-13.452103100370095 kilojoule / mole	-8.226855844221575 kilojoule / mole	-25.341693378942608 kilojoule / mole	-21.536189878777698 kilojoule / mole	0.0
1TRANSKETO-RXN-D-SEDOHEPTULOSE-7-P/GAP//CPD-15895/XYLULOSE-5-PHOSPHATE.56.	C00118 + C05382 = C00231 + CPD__45__15895	5.0 millimolar / second	1238.5511229463555 kilojoule / mole	11.696425134265155 kilojoule / mole	11.696425134265155 kilojoule / mole	-15.600278824618272 kilojoule / mole	0.33333
GAPOXNPHOSPHN-RXN	C00004 + C00080 + C00236 = C00003 + C00009 + C00118	20.0 millimolar / second	-4.6027114926585 kilojoule / mole	-4.599449342410516 kilojoule / mole	-21.71428687713155 kilojoule / mole	-19.010191325267126 kilojoule / mole	0.0
TRIOSEPISOMERIZATION-RXN	C00118 = C00111	10.0 millimolar / second	-5.575349871345168 kilojoule / mole	-5.738437851540009 kilojoule / mole	-5.738437851540009 kilojoule / mole	-17.74106666903133 kilojoule / mole	0.0
PHOSPHORIBULOKINASE-RXN	C00002 + C00199 = C00008 + C00080 + C01182	10.0 millimolar / second	-25.87826407273303 kilojoule / mole	-23.622608187459704 kilojoule / mole	-23.622608187459704 kilojoule / mole	-46.23258976825854 kilojoule / mole	0.0
RIBULP3EPIM-RXN	C00231 = C00199	5.0 millimolar / second	3.388013622025369 kilojoule / mole	1.4688643015459657 kilojoule / mole	1.4688643015459657 kilojoule / mole	-15.600279468335225 kilojoule / mole	0.33333
RXN0-7249	C00001 + C00111 = C00009 + C00184	5.0 millimolar / second	-14.958153538137253 kilojoule / mole	-15.051705996017539 kilojoule / mole	-32.16654353073857 kilojoule / mole	-39.12372640182779 kilojoule / mole	0.0
RIB5PISOM-RXN-CPD-15895//RIBULOSE-5P.23.	CPD__45__15895 = C00199	5.0 millimolar / second	-1232.592556027651 kilojoule / mole	-14.326559878364833 kilojoule / mole	-14.326559878364833 kilojoule / mole	-15.600278824619636 kilojoule / mole	0.33333
