Reaction ID	Fluxes	Equation(ID)
RXN-18384	10.0	C00894 + C00011 + C00005 --> C01213 + C00006
PYRUVFORMLY-RXN	5.0	C00024 + C00058 --> C00010 + C00022
RXN-16767	-10.0	C00004 <=> C21424
HOMOSERDEAM-RXN	5.0	C00263 --> C00014 + C00109
1.4.1.21-RXN-L-ASPARTATE/NAD/WATER//OXALACETIC_ACID/AMMONIUM/NADH/PROTON.60.	-5.0	C00049 + C00003 + C00001 <=> C00014 + C00004 + C00036 + C00080
KETOBUTFORMLY-RXN	5.0	C00010 + C00109 --> C00058 + C00100
HOMOSERDEHYDROG-RXN-HOMO-SER/NAD//L-ASPARTATE-SEMIALDEHYDE/NADH/PROTON.51.	5.0	C00441 + C00004 + C00080 --> C00263 + C00003
MALYL-COA-LYASE-RXN	5.0	C04348 <=> C00024 + C00048
RXN-14047	-5.0	C00158 <=> C00311
MALATE-DEHYDROGENASE-NADP+-RXN	5.0	C00005 + C00036 + C00080 --> C00149 + C00006
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	-5.0	C00441 + C00006 + C00009 <=> C03082 + C00005 + C00080
RXN-15977	10.0	C00007 + C00100 --> C00894 + C00027
RXN-16774	-10.0	C21424 + C00007 + C00080 <=> C00027 + C00003
ASPARTATEKIN-RXN	5.0	C00002 + C00049 <=> C00008 + C03082
2.1.3.1-RXN	5.0	C00683 + C00022 <=> C00036 + C00100
RXN-8964	5.0	C00149 + C00091 <=> C04348 + C00042
METHYLMALONYL-COA-MUT-RXN	5.0	C01213 <=> C00091
METHYLMALONYL-COA-EPIM-RXN	5.0	C01213 <=> C00683
ISOCIT-CLEAV-RXN	-5.0	C00311 <=> C00048 + C00042
ATP-CITRATE-PRO-S--LYASE-RXN	5.0	C00002 + C00158 + C00010 --> C00024 + C00008 + C00036 + C00009
