Reaction ID	Fluxes	Equation(ID)
ACETYL-COA-CARBOXYLTRANSFER-RXN	5.0	C00024 + C00002 + C00288 --> C00008 + C00083 + C00080 + C00009
PROPIONYL-COA-CARBOXY-RXN	5.0	C00002 + C00288 + C00100 --> C00008 + C00683 + C00080 + C00009
RXN0-5224	-10.0	C00288 + C00080 <=> C00011 + C00001
RXN-8974	5.0	C00222 + C00005 + C00080 --> C00006 + C01013
MALYL-COA-LYASE-RXN	5.0	C04348 <=> C00024 + C00048
RXN-14047	-5.0	C00158 <=> C00311
MALATE-DEHYDROGENASE-NADP+-RXN	5.0	C00005 + C00036 + C00080 --> C00149 + C00006
RXN-8968	5.0	C00002 + C00010 + C00005 + C00080 + C01013 --> C00020 + C00006 + C00013 + C00100 + C00001
RXN-8963	-5.0	C00010 + C00222 + C00006 <-- C00083 + C00005 + C00080
RXN-8964	5.0	C00149 + C00091 <=> C04348 + C00042
METHYLMALONYL-COA-MUT-RXN	5.0	C01213 <=> C00091
METHYLMALONYL-COA-EPIM-RXN	-5.0	C01213 <=> C00683
ISOCIT-CLEAV-RXN	-5.0	C00311 <=> C00048 + C00042
ATP-CITRATE-PRO-S--LYASE-RXN	5.0	C00002 + C00158 + C00010 --> C00024 + C00008 + C00036 + C00009
