Reaction ID	Fluxes	Equation(ID)
PROPIONYL-COA-CARBOXY-RXN	5.0	C00002 + C00288 + C00100 --> C00008 + C00683 + C00080 + C00009
PYRUVATE-DEHYDROGENASE-NADP+-RXN	5.0	C00024 + C00011 + C00005 --> C00010 + C00006 + C00022
RXN0-5224	-5.0	C00288 + C00080 <=> C00011 + C00001
PHOSACETYLTRANS-RXN	-5.0	C00024 + C00009 <=> C00227 + C00010
RXN-7566	5.0	C00037 + C00080 + C00009 + C00342 --> C00227 + C00014 + C00343 + C00001
MALYL-COA-LYASE-RXN	5.0	C04348 <=> C00024 + C00048
MALATE-DEHYDROGENASE-NADP+-RXN	5.0	C00005 + C00036 + C00080 --> C00149 + C00006
2.1.3.1-RXN	5.0	C00683 + C00022 <=> C00036 + C00100
MALATE--COA-LIGASE-RXN	5.0	C00002 + C00010 + C00149 --> C00008 + C04348 + C00009
GLYCINE-DEHYDROGENASE-RXN	-5.0	C00037 + C00003 + C00001 <=> C00014 + C00048 + C00004 + C00080
