Reaction ID	Fluxes	Equation(ID)
RXN-18384	5.0	C00894 + C00011 + C00005 --> C01213 + C00006
2-OXOBUTYRATE-SYNTHASE-RXN	5.0	C00011 + C00100 + C00080 + 2.0 C00138 --> C00010 + 2.0 C00139 + C00109
PYRUVFORMLY-RXN	5.0	C00024 + C00058 --> C00010 + C00022
KETOBUTFORMLY-RXN	5.0	C00010 + C00109 --> C00058 + C00100
HYDROG-RXN	5.0	C00282 + 2.0 C00139 <=> 2.0 C00080 + 2.0 C00138
1.6.99.5-RXN-NADH/CPD-9849/PROTON//NAD/CPD-18075.36.	5.0	C21527 + C00004 + C00080 --> CPD__45__18075_c + C00003
MALYL-COA-LYASE-RXN	5.0	C04348 <=> C00024 + C00048
1.12.5.1-RXN-CPD-9849/HYDROGEN-MOLECULE//CPD-18075.38.	-5.0	C21527 + C00282 <=> CPD__45__18075_c
RXN-14047	-5.0	C00158 <=> C00311
MALATE-DEHYDROGENASE-NADP+-RXN	5.0	C00005 + C00036 + C00080 --> C00149 + C00006
RXN-781	5.0	C00827 <=> C00894 + C00001
RXN0-268	-5.0	C00100 + C00042 <=> C00163 + C00091
MALATE--COA-LIGASE-RXN	5.0	C00002 + C00010 + C00149 --> C00008 + C04348 + C00009
PROPIONLACT-RXN	5.0	C00186 + C00100 <=> C00827 + C00163
METHYLMALONYL-COA-MUT-RXN	5.0	C01213 <=> C00091
L-LACTATE-DEHYDROGENASE-RXN	-5.0	C00186 + C00003 <=> C00004 + C00080 + C00022
ISOCIT-CLEAV-RXN	-5.0	C00311 <=> C00048 + C00042
ATP-CITRATE-PRO-S--LYASE-RXN	5.0	C00002 + C00158 + C00010 --> C00024 + C00008 + C00036 + C00009
