reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
PYRUVATE-CARBOXYLASE-RXN	C00002 + C00022 + C00288 = C00008 + C00009 + C00036 + C00080	10.0 millimolar / second	-4.927611499417402 kilojoule / mole	-4.908761136220176 kilojoule / mole	-4.908761136220176 kilojoule / mole	-26.076885381818165 kilojoule / mole	0.0
PYRUVFORMLY-RXN	C00024 + C00058 = C00010 + C00022	5.0 millimolar / second	19.810021191652595 kilojoule / mole	19.226475833087193 kilojoule / mole	19.226475833087193 kilojoule / mole	-8.197773079240177 kilojoule / mole	0.13929
RXN0-5224	C00001 + C00011 = C00080 + C00288	10.0 millimolar / second	-5.187235000808812 kilojoule / mole	-4.793047850593631 kilojoule / mole	-4.793047850593631 kilojoule / mole	-20.682663463510067 kilojoule / mole	0.0
HOMOSERDEAM-RXN	C00263 = C00014 + C00109	5.0 millimolar / second	-63.201803634130385 kilojoule / mole	-49.8627479208793 kilojoule / mole	-66.97758545560033 kilojoule / mole	-52.3269872828628 kilojoule / mole	0.0
1.4.1.21-RXN-L-ASPARTATE/NAD/WATER//OXALACETIC_ACID/AMMONIUM/NADH/PROTON.60.	C00004 + C00014 + C00036 + C00080 = C00001 + C00003 + C00049	5.0 millimolar / second	-39.326148937021344 kilojoule / mole	-39.36365212201031 kilojoule / mole	-22.248814587289278 kilojoule / mole	-13.236156106902959 kilojoule / mole	0.0
KETOBUTFORMLY-RXN	C00010 + C00109 = C00058 + C00100	5.0 millimolar / second	-3.5569274338458854 kilojoule / mole	-17.515389025149585 kilojoule / mole	-17.515389025149585 kilojoule / mole	-8.197773078883985 kilojoule / mole	0.13929
HOMOSERDEHYDROG-RXN-HOMO-SER/NADP//L-ASPARTATE-SEMIALDEHYDE/NADPH/PROTON.53.	C00005 + C00080 + C00441 = C00006 + C00263	5.0 millimolar / second	-22.390116860941134 kilojoule / mole	-22.408003056051303 kilojoule / mole	-22.408003056051303 kilojoule / mole	-18.133706699347005 kilojoule / mole	0.0
MALYL-COA-LYASE-RXN	C04348 = C00024 + C00048	5.0 millimolar / second	16.1622318415602 kilojoule / mole	7.925269071648641 kilojoule / mole	-9.189568463072392 kilojoule / mole	-8.197773079429934 kilojoule / mole	0.13543
MALATE-DEH-RXN[CCO-CYTOSOL]-MAL/NAD//OXALACETIC_ACID/NADH/PROTON.50.	C00004 + C00036 + C00080 = C00003 + C00149	5.0 millimolar / second	-29.558211165424837 kilojoule / mole	-29.571733977413594 kilojoule / mole	-29.571733977413594 kilojoule / mole	-22.353796711137903 kilojoule / mole	0.0
RXN-13230	C06028 = C18323	5.0 millimolar / second	1.3574208423960954e-10 kilojoule / mole	1.3574208423960954e-10 kilojoule / mole	1.3574208423960954e-10 kilojoule / mole	-8.19777307900031 kilojoule / mole	0.14553
RXN-8965	C00001 + C18323 = C01011	5.0 millimolar / second	-0.3988046682220556 kilojoule / mole	-0.5941004067838884 kilojoule / mole	-0.5941004067838884 kilojoule / mole	-8.197773079013952 kilojoule / mole	0.14553
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	C00005 + C00080 + C03082 = C00006 + C00009 + C00441	5.0 millimolar / second	20.345053421939724 kilojoule / mole	20.34510881972795 kilojoule / mole	3.2302712850069173 kilojoule / mole	-11.468743143176688 kilojoule / mole	0.0
ASPARTATEKIN-RXN	C00002 + C00049 = C00008 + C03082	5.0 millimolar / second	22.274273316339418 kilojoule / mole	22.27454522933236 kilojoule / mole	22.27454522933236 kilojoule / mole	-10.373810678425388 kilojoule / mole	0.0
MALATE--COA-LIGASE-RXN	C00002 + C00010 + C00149 = C00008 + C00009 + C04348	5.0 millimolar / second	-7.716096846263554 kilojoule / mole	3.4654065586922744 kilojoule / mole	3.4654065586922744 kilojoule / mole	-13.813811607931251 kilojoule / mole	0.0
CITRAMALYL-COA-LYASE-RXN	C01011 = C00022 + C00024	5.0 millimolar / second	7.059838100394472 kilojoule / mole	7.9252690070544975 kilojoule / mole	-9.189568527666536 kilojoule / mole	-8.197773126877083 kilojoule / mole	0.00387
RXN-8960	C06027 = C00001 + C06028	5.0 millimolar / second	-3.686969438274673 kilojoule / mole	-3.8984479358648474 kilojoule / mole	-3.8984479358648474 kilojoule / mole	-8.197773079000587 kilojoule / mole	0.14553
RXN-8961	C00048 + C00100 = C06027	5.0 millimolar / second	-15.049597135861177 kilojoule / mole	-16.888652339498524 kilojoule / mole	0.22618519522250802 kilojoule / mole	-8.197773078988066 kilojoule / mole	0.14553
