reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
PYRUVATE-DEHYDROGENASE-NADP+-RXN	C00005 + C00011 + C00024 = C00006 + C00010 + C00022	5.0 millimolar / second	34.15490275679191 kilojoule / mole	23.578254684531842 kilojoule / mole	23.578254684531842 kilojoule / mole	-11.0771565734131 kilojoule / mole	0.11074
ISOCITDEH-RXN	C00005 + C00011 + C00026 = C00006 + C00311	5.0 millimolar / second	-5.475979454693686 kilojoule / mole	-15.442771864027668 kilojoule / mole	1.6720656706933656 kilojoule / mole	-11.07715660773167 kilojoule / mole	0.03691
GLYOXYLATE-DEHYDROGENASE-ACYLATING-RXN	C00006 + C00010 + C00048 = C00005 + C00080 + C00313	2.5 millimolar / second	-14.252751544061766 kilojoule / mole	-14.277447876034302 kilojoule / mole	2.8373896586867313 kilojoule / mole	-11.07715658183286 kilojoule / mole	0.07382
HYDGLUTSYN-RXN	C00001 + C00048 + C00100 = C00010 + C00080 + C02630	5.0 millimolar / second	-39.55379493750601 kilojoule / mole	-31.90623425781297 kilojoule / mole	-31.90623425781297 kilojoule / mole	-52.79828889542148 kilojoule / mole	0.0
RXN0-7075	C00033 + C00313 = C00024 + C00209	2.5 millimolar / second	19.553457280967212 kilojoule / mole	15.305691248009435 kilojoule / mole	15.305691248009435 kilojoule / mole	-11.07715658129872 kilojoule / mole	0.07382
1.7.1.9-RXN-4-HYDROXYAMINOQUINOLINE-N-OXIDE/NADP/WATER//4-NITROQUINOLINE-N-OXIDE/NADPH/PROTON.82.	C00001 + 2 C00006 + C04050 = 2 C00005 + 2 C00080 + C03474	1.25 millimolar / second	201.9455101639078 kilojoule / mole	39.665588785718825 kilojoule / mole	39.665588785718825 kilojoule / mole	-11.077155987174791 kilojoule / mole	0.03691
1.7.1.9-RXN-4-HYDROXYAMINOQUINOLINE-N-OXIDE/NAD/WATER//4-NITROQUINOLINE-N-OXIDE/NADH/PROTON.80.	2 C00004 + 2 C00080 + C03474 = C00001 + 2 C00003 + C04050	1.25 millimolar / second	-202.20662023191062 kilojoule / mole	-39.94246639346159 kilojoule / mole	-39.94246639346159 kilojoule / mole	-11.07715598717428 kilojoule / mole	0.03691
SUCCCOASYN-RXN[CCO-CYTOSOL]-SUC/ATP/CO-A//SUC-COA/ADP/Pi.42.	C00002 + C00010 + C00042 = C00008 + C00009 + C00091	5.0 millimolar / second	-1.7513499411736575 kilojoule / mole	-0.569776382387776 kilojoule / mole	-0.569776382387776 kilojoule / mole	-11.077156607522832 kilojoule / mole	0.03691
RXN-14103	C00016 + C00080 + C02630 = C00026 + C01352	5.0 millimolar / second	-0.14907495812690286 kilojoule / mole	-1.9309288346659899 kilojoule / mole	-1.9309288346659899 kilojoule / mole	-11.077156606055137 kilojoule / mole	0.03691
MALYL-COA-LYASE-RXN	C04348 = C00024 + C00048	2.5 millimolar / second	16.16223184156047 kilojoule / mole	13.911464915340368 kilojoule / mole	-3.2033726193806666 kilojoule / mole	-11.07715660666306 kilojoule / mole	0.03691
OXALOACETASE-RXN	C00001 + C00036 = C00033 + C00080 + C00209	2.5 millimolar / second	-52.547326318724856 kilojoule / mole	-55.357539529918846 kilojoule / mole	-72.47237706463989 kilojoule / mole	-100.9971062564168 kilojoule / mole	0.0
MALATE-DEH-RXN[CCO-CYTOSOL]-MAL/NAD//OXALACETIC_ACID/NADH/PROTON.50.	C00004 + C00036 + C00080 = C00003 + C00149	2.5 millimolar / second	-29.558211165425092 kilojoule / mole	-29.511196822853424 kilojoule / mole	-29.511196822853424 kilojoule / mole	-14.036097925035152 kilojoule / mole	0.0
2.1.3.1-RXN	C00022 + C00683 = C00036 + C00100	5.0 millimolar / second	-2.1831111312283156 kilojoule / mole	-5.346611309319904 kilojoule / mole	-5.346611309319904 kilojoule / mole	-11.077156572544045 kilojoule / mole	0.11074
MALATE--COA-LIGASE-RXN	C00002 + C00010 + C00149 = C00008 + C00009 + C04348	2.5 millimolar / second	-7.716096846263554 kilojoule / mole	-4.303489724291109 kilojoule / mole	-4.303489724291109 kilojoule / mole	-16.815480318020604 kilojoule / mole	0.0
METHYLMALONYL-COA-MUT-RXN	C00091 = C01213	5.0 millimolar / second	8.353466868023588 kilojoule / mole	5.801174278540398 kilojoule / mole	5.801174278540398 kilojoule / mole	-11.077156567179337 kilojoule / mole	0.18625
METHYLMALONYL-COA-EPIM-RXN	C01213 = C00683	5.0 millimolar / second	-0.15463308194898673 kilojoule / mole	-5.1357040641794 kilojoule / mole	-5.1357040641794 kilojoule / mole	-11.07715656718392 kilojoule / mole	0.18625
ISOCIT-CLEAV-RXN	C00311 = C00042 + C00048	5.0 millimolar / second	9.51983219263957 kilojoule / mole	10.26342870204618 kilojoule / mole	-6.851408832674853 kilojoule / mole	-11.07715660734614 kilojoule / mole	0.03691
