Reaction ID	Fluxes	Equation(ID)
PYRUVATE-CARBOXYLASE-RXN	5.0	C00002 + C00288 + C00022 --> C00008 + C00036 + C00080 + C00009
2-OXOBUTYRATE-SYNTHASE-RXN	5.0	C00011 + C00100 + C00080 + 2.0 C00138 --> C00010 + 2.0 C00139 + C00109
PYRUVFORMLY-RXN	5.0	C00024 + C00058 --> C00010 + C00022
RXN0-5224	-5.0	C00288 + C00080 <=> C00011 + C00001
GLYOXYLATE-DEHYDROGENASE-ACYLATING-RXN	2.5	C00010 + C00048 + C00006 <=> C00005 + C00313 + C00080
RXN0-7075	-2.5	C00024 + C00209 <=> C00033 + C00313
KETOBUTFORMLY-RXN	5.0	C00010 + C00109 --> C00058 + C00100
HYDROG-RXN	5.0	C00282 + 2.0 C00139 <=> 2.0 C00080 + 2.0 C00138
1.6.99.5-RXN-NADH/CPD-9723/PROTON//NAD/CPD-12128.36.	5.0	CPD__45__9723_c + C00004 + C00080 --> CPD__45__12128_c + C00003
MALYL-COA-LYASE-RXN	2.5	C04348 <=> C00024 + C00048
OXALOACETASE-RXN	2.5	C00036 + C00001 --> C00033 + C00209 + C00080
1.12.5.1-RXN-CPD-9723/HYDROGEN-MOLECULE//CPD-12128.38.	-5.0	CPD__45__9723_c + C00282 <=> CPD__45__12128_c
MALATE-DEHYDROGENASE-NADP+-RXN	2.5	C00005 + C00036 + C00080 --> C00149 + C00006
MALATE--COA-LIGASE-RXN	2.5	C00002 + C00010 + C00149 --> C00008 + C04348 + C00009
