Reaction ID	Fluxes	Equation(ID)
ISOCITDEH-RXN	5.0	C00011 + C00005 + C00026 --> C00006 + C00311
GLUTACONYL-COA-DECARBOXYLASE-RXN	5.0	C00011 + C00877 --> C02411 + C00080
RXN-1083	-5.0	C03058 <=> C02411 + C00001
OXALOACETASE-RXN	5.0	C00036 + C00001 --> C00033 + C00209 + C00080
RXN-11667	5.0	C01144 <=> C00877 + C00001
RXN-14047	-5.0	C00158 <=> C00311
1.1.1.272-RXN-R-2-HYDROXYGLUTARATE/NADP//2-KETOGLUTARATE/NADPH/PROTON.56.	5.0	C00006 + C01087 <=> C00005 + C00080 + C00026
RXN-11662	-5.0	C00003 + C01144 <=> C00332 + C00004 + C00080
ACETYL-COA-ACETYLTRANSFER-RXN	5.0	2.0 C00024 <=> C00332 + C00010
RXN-1082	-5.0	C00024 + C01087 <=> C00033 + C03058
ATP-CITRATE-PRO-S--LYASE-RXN	5.0	C00002 + C00158 + C00010 --> C00024 + C00008 + C00036 + C00009
