Reaction ID	Fluxes	Equation(ID)
RXN-18384	5.0	C00894 + C00011 + C00005 --> C01213 + C00006
GCVMULTI-RXN-GLY/THF/NAD//METHYLENE-THF/AMMONIUM/CARBON-DIOXIDE/NADH.56.	5.0	C00014 + C00011 + C00143 + C00004 --> C00037 + C00003 + C00101
RXN-2881-FORMALDEHYDE/THF//METHYLENE-THF/WATER.38.	5.0	C00067 + C00101 --> C00143 + C00001
GLYOXYLATE-DEHYDROGENASE-ACYLATING-RXN	2.5	C00010 + C00048 + C00006 <=> C00005 + C00313 + C00080
RXN-16767	-10.0	C00004 <=> C21424
RXN0-7075	-2.5	C00024 + C00209 <=> C00033 + C00313
ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN-L-ALPHA-ALANINE/2-OXOBUTANOATE//PYRUVATE/CPD-298.49.	5.0	C00041 + C00109 <=> C02721 + C00022
2.6.1.35-RXN	2.5	C00037 + C00036 <=> C00048 + C00049
HOMOSERDEAM-RXN	2.5	C00263 --> C00014 + C00109
THREONINE-RACEMASE-RXN	-2.5	C00188 <=> C00820
HOMOSERDEHYDROG-RXN-HOMO-SER/NAD//L-ASPARTATE-SEMIALDEHYDE/NADH/PROTON.51.	2.5	C00441 + C00004 + C00080 --> C00263 + C00003
OXALOACETASE-RXN	2.5	C00036 + C00001 --> C00033 + C00209 + C00080
N-METHYL-L-AMINO-ACID-OXIDASE-RXN-CPD-298/OXYGEN-MOLECULE/WATER//L-ALPHA-ALANINE/FORMALDEHYDE/HYDROGEN-PEROXIDE.78.	5.0	C02721 + C00007 + C00001 --> C00067 + C00027 + C00041
THREDEHYD-RXN	2.5	C00188 --> C00014 + C00109
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	-2.5	C00441 + C00006 + C00009 <=> C03082 + C00005 + C00080
RXN-15977	5.0	C00007 + C00100 --> C00894 + C00027
RXN-16774	-10.0	C21424 + C00007 + C00080 <=> C00027 + C00003
ASPARTATEKIN-RXN	2.5	C00002 + C00049 <=> C00008 + C03082
4.1.2.42-RXN	-2.5	C00820 <=> C00084 + C00037
2.1.3.1-RXN	5.0	C00683 + C00022 <=> C00036 + C00100
METHYLMALONYL-COA-EPIM-RXN	5.0	C01213 <=> C00683
ACETALD-DEHYDROG-RXN	-2.5	C00084 + C00010 + C00003 <=> C00024 + C00004 + C00080
