Reaction ID	Fluxes	Equation(ID)
RXN-8457	5.0	C00002 + C00011 + C00001 + C00026 --> C00008 + C05379 + 2.0 C00080 + C00009
PYRUVATE-DEHYDROGENASE-NADP+-RXN	5.0	C00024 + C00011 + C00005 --> C00010 + C00006 + C00022
GLYOXYLATE-DEHYDROGENASE-ACYLATING-RXN	2.5	C00010 + C00048 + C00006 <=> C00005 + C00313 + C00080
HYDGLUTSYN-RXN	5.0	C00048 + C00100 + C00001 --> C00010 + C00080 + C02630
RXN0-7075	-2.5	C00024 + C00209 <=> C00033 + C00313
SUCCCOASYN-RXN[CCO-CYTOSOL]-SUC/ATP/CO-A//SUC-COA/ADP/Pi.42.	5.0	C00002 + C00010 + C00042 --> C00008 + C00009 + C00091
RXN-14103	5.0	C00016 + C00080 + C02630 <=> C01352 + C00026
MALYL-COA-LYASE-RXN	2.5	C04348 <=> C00024 + C00048
OXALOACETASE-RXN	2.5	C00036 + C00001 --> C00033 + C00209 + C00080
R23-RXN	5.0	C00004 + C05379 + C00080 --> C00003 + C00311
MALATE-DEHYDROGENASE-NADP+-RXN	2.5	C00005 + C00036 + C00080 --> C00149 + C00006
2.1.3.1-RXN	5.0	C00683 + C00022 <=> C00036 + C00100
MALATE--COA-LIGASE-RXN	2.5	C00002 + C00010 + C00149 --> C00008 + C04348 + C00009
METHYLMALONYL-COA-MUT-RXN	-5.0	C01213 <=> C00091
METHYLMALONYL-COA-EPIM-RXN	5.0	C01213 <=> C00683
ISOCIT-CLEAV-RXN	5.0	C00311 <=> C00048 + C00042
