reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
ACETYL-COA-CARBOXYLTRANSFER-RXN	C00002 + C00024 + C00288 = C00008 + C00009 + C00080 + C00083	3.33333 millimolar / second	-6.819476712687852 kilojoule / mole	-5.913686006683483 kilojoule / mole	-5.913686006683483 kilojoule / mole	-67.00385002053149 kilojoule / mole	0.0
PROPIONYL-COA-CARBOXY-RXN	C00002 + C00100 + C00288 = C00008 + C00009 + C00080 + C00683	3.33333 millimolar / second	-2.744500368189165 kilojoule / mole	2.861308953659239 kilojoule / mole	2.861308953659239 kilojoule / mole	-28.76091915572143 kilojoule / mole	0.0
2-OXOBUTYRATE-SYNTHASE-RXN	C00011 + C00080 + C00100 + 2 C00138 = C00010 + C00109 + 2 C00139	3.33333 millimolar / second	1.7911890349712394 kilojoule / mole	-10.854330490555379 kilojoule / mole	-10.854330490555379 kilojoule / mole	-7.044711428395026 kilojoule / mole	0.08031
PYRUVFORMLY-RXN	C00024 + C00058 = C00010 + C00022	3.33333 millimolar / second	19.810021191652694 kilojoule / mole	18.95866030924231 kilojoule / mole	18.95866030924231 kilojoule / mole	-7.044711428466374 kilojoule / mole	0.08031
RXN0-5224	C00001 + C00011 = C00080 + C00288	6.66667 millimolar / second	-5.187235000808812 kilojoule / mole	-16.94836129594566 kilojoule / mole	-16.94836129594566 kilojoule / mole	-48.262747278903035 kilojoule / mole	0.0
2PGADEHYDRAT-RXN	C00001 + C00074 = C00631	3.33333 millimolar / second	3.8108873820314386 kilojoule / mole	3.727177144814857 kilojoule / mole	3.727177144814857 kilojoule / mole	-7.044711428479675 kilojoule / mole	0.08031
RXN-8974	C00005 + C00080 + C00222 = C00006 + C01013	3.33333 millimolar / second	-23.328358352916467 kilojoule / mole	-23.525977156112408 kilojoule / mole	-23.525977156112408 kilojoule / mole	-28.677904368611326 kilojoule / mole	0.0
KETOBUTFORMLY-RXN	C00010 + C00109 = C00058 + C00100	3.33333 millimolar / second	-3.556927433845864 kilojoule / mole	-2.5146543649046462 kilojoule / mole	-2.5146543649046462 kilojoule / mole	-7.044711428480482 kilojoule / mole	0.08031
HYDROG-RXN	2 C00139 + C00282 = 2 C00080 + 2 C00138	3.33333 millimolar / second	-19.5963599999833 kilojoule / mole	-8.452064419967336 kilojoule / mole	8.662773114753698 kilojoule / mole	-7.044711428614704 kilojoule / mole	0.08031
RXN-12450	C00005 + C00080 + Oxidized__45__Factor__45__F420 = C00006 + C01080	3.33333 millimolar / second	-1312.3328870355838 kilojoule / mole	-25.571586232285654 kilojoule / mole	-25.571586232285654 kilojoule / mole	-7.044711350856915 kilojoule / mole	0.16062
