reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
GCVMULTI-RXN-GLY/THF/NAD//METHYLENE-THF/AMMONIUM/CARBON-DIOXIDE/NADH.56.	C00004 + C00011 + C00014 + C00143 = C00003 + C00037 + C00101	10.0 millimolar / second	-22.18646711534643 kilojoule / mole	-22.093372182390944 kilojoule / mole	-4.978534647669911 kilojoule / mole	8.110932647919322 kilojoule / mole	0.0
RXN-2881-FORMALDEHYDE/THF//METHYLENE-THF/WATER.38.	C00067 + C00101 = C00001 + C00143	6.66667 millimolar / second	-25.355278707548877 kilojoule / mole	-25.341664797723382 kilojoule / mole	-8.226827263002349 kilojoule / mole	2.049426306517042 kilojoule / mole	0.0
RXN-16767	C21424 = C00004	6.66667 millimolar / second	0.5321601063815251 kilojoule / mole	3.5110872334398016 kilojoule / mole	3.5110872334398016 kilojoule / mole	17.16461292172328 kilojoule / mole	0.0
2PGADEHYDRAT-RXN	C00001 + C00074 = C00631	6.66667 millimolar / second	3.8108873820314386 kilojoule / mole	3.822038189455332 kilojoule / mole	3.822038189455332 kilojoule / mole	2.8747297001362377 kilojoule / mole	0.0
PHOSACETYLTRANS-RXN	C00010 + C00227 = C00009 + C00024	6.66667 millimolar / second	-8.878981560286043 kilojoule / mole	-8.880427724620095 kilojoule / mole	-8.880427724620095 kilojoule / mole	9.681091464582511 kilojoule / mole	0.0
ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN-L-ALPHA-ALANINE/2-OXOBUTANOATE//PYRUVATE/CPD-298.49.	C00041 + C00109 = C00022 + C02721	6.66667 millimolar / second	34.571516194760434 kilojoule / mole	34.14275413329709 kilojoule / mole	34.14275413329709 kilojoule / mole	16.76472495681132 kilojoule / mole	0.0
THREONINE-RACEMASE-RXN	C00820 = C00188	6.66667 millimolar / second	-10.045215204066324 kilojoule / mole	-9.712001085290972 kilojoule / mole	-9.712001085290972 kilojoule / mole	-5.941946580404863 kilojoule / mole	0.0
RXN0-6562	C00001 + C03232 = C00009 + C00168	3.33333 millimolar / second	-17.216717711750917 kilojoule / mole	-17.2143198236162 kilojoule / mole	-34.329157358337234 kilojoule / mole	-30.323389254546818 kilojoule / mole	0.0
RXN-7566	C00009 + C00037 + C00080 + C00342 = C00001 + C00014 + C00227 + C00343	6.66667 millimolar / second	-2.7069868415694742 kilojoule / mole	-2.7110429263544034 kilojoule / mole	-2.7110429263544034 kilojoule / mole	17.13696922217739 kilojoule / mole	0.0
GLYOHMETRANS-RXN-SER/THF//GLY/METHYLENE-THF/WATER.33.	C00065 + C00101 = C00001 + C00037 + C00143	3.33333 millimolar / second	-6.75949647425108 kilojoule / mole	-6.782809530871261 kilojoule / mole	-6.782809530871261 kilojoule / mole	5.3861450619884925 kilojoule / mole	0.0
RXN-15513	C00631 = C00197	6.66667 millimolar / second	-4.52040798250934 kilojoule / mole	-4.506294753549603 kilojoule / mole	-4.506294753549603 kilojoule / mole	-4.047361918759321 kilojoule / mole	0.0
SERINE-DEHYDROGENASE-RXN	C00004 + C00014 + C00080 + C00168 = C00001 + C00003 + C00065	3.33333 millimolar / second	-40.73940704409381 kilojoule / mole	-40.748629403382665 kilojoule / mole	-23.633791868661632 kilojoule / mole	16.49344510010431 kilojoule / mole	0.0
N-METHYL-L-AMINO-ACID-OXIDASE-RXN-CPD-298/OXYGEN-MOLECULE/WATER//L-ALPHA-ALANINE/FORMALDEHYDE/HYDROGEN-PEROXIDE.78.	C00001 + C00007 + C02721 = C00027 + C00041 + C00067	6.66667 millimolar / second	-68.9962422617597 kilojoule / mole	-47.24570948958599 kilojoule / mole	-64.36054702430702 kilojoule / mole	-38.869824515524854 kilojoule / mole	0.0
THREDEHYD-RXN	C00188 = C00014 + C00109	6.66667 millimolar / second	-24.0919697192071 kilojoule / mole	-24.006881656242705 kilojoule / mole	-41.12171919096374 kilojoule / mole	-39.1126800042513 kilojoule / mole	0.0
PEPDEPHOS-RXN	C00002 + C00022 = C00008 + C00074 + C00080	6.66667 millimolar / second	27.583323358306416 kilojoule / mole	27.607980439096572 kilojoule / mole	27.607980439096572 kilojoule / mole	0.1563741184875697 kilojoule / mole	0.0
RXN-16774	C00003 + C00027 = C00007 + C00080 + C21424	6.66667 millimolar / second	131.89141496345414 kilojoule / mole	107.50343435932658 kilojoule / mole	107.50343435932658 kilojoule / mole	27.63419252493314 kilojoule / mole	1.0
4.1.2.42-RXN	C00037 + C00084 = C00820	6.66667 millimolar / second	0.08155475338753604 kilojoule / mole	-0.25699724881048414 kilojoule / mole	16.857840285910548 kilojoule / mole	17.605484298993176 kilojoule / mole	0.0
PGLYCDEHYDROG-RXN	C00003 + C00197 = C00004 + C00080 + C03232	3.33333 millimolar / second	33.927608269133714 kilojoule / mole	33.92120813174355 kilojoule / mole	33.92120813174355 kilojoule / mole	-10.3040067852448 kilojoule / mole	0.0
ACETALD-DEHYDROG-RXN	C00004 + C00024 + C00080 = C00003 + C00010 + C00084	6.66667 millimolar / second	17.62287471273561 kilojoule / mole	17.68812629069152 kilojoule / mole	0.5732887559704885 kilojoule / mole	22.050966083348126 kilojoule / mole	0.0
