Reaction ID	Fluxes	Equation(ID)
RXN-8457	3.33333	C00002 + C00011 + C00001 + C00026 --> C00008 + C05379 + 2.0 C00080 + C00009
ISOCITDEH-RXN	3.33333	C00011 + C00005 + C00026 --> C00006 + C00311
OXOGLUTARATE-DEHYDROGENASE-NADP+-RXN	3.33333	C00011 + C00005 + C00091 --> C00010 + C00006 + C00026
PYRUVFORMLY-RXN	3.33333	C00024 + C00058 --> C00010 + C00022
HYDGLUTSYN-RXN	3.33333	C00048 + C00100 + C00001 --> C00010 + C00080 + C02630
2PGADEHYDRAT-RXN	-3.33333	C00631 <=> C00074 + C00001
HOMOSERDEAM-RXN	3.33333	C00263 --> C00014 + C00109
1.4.1.21-RXN-L-ASPARTATE/NADP/WATER//OXALACETIC_ACID/AMMONIUM/NADPH/PROTON.62.	-3.33333	C00049 + C00006 + C00001 <=> C00014 + C00005 + C00036 + C00080
KETOBUTFORMLY-RXN	3.33333	C00010 + C00109 --> C00058 + C00100
HOMOSERDEHYDROG-RXN-HOMO-SER/NADP//L-ASPARTATE-SEMIALDEHYDE/NADPH/PROTON.53.	3.33333	C00441 + C00005 + C00080 --> C00263 + C00006
SUCCCOASYN-RXN[CCO-CYTOSOL]-SUC/ATP/CO-A//SUC-COA/ADP/Pi.42.	3.33333	C00002 + C00010 + C00042 --> C00008 + C00009 + C00091
RXN-14103	3.33333	C00016 + C00080 + C02630 <=> C01352 + C00026
RXN-15513	3.33333	C00631 <=> C00197
R23-RXN	3.33333	C00004 + C05379 + C00080 --> C00003 + C00311
RXN-14047	-3.33333	C00158 <=> C00311
PEPDEPHOS-RXN	3.33333	C00002 + C00022 --> C00008 + C00074 + C00080
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	-3.33333	C00441 + C00006 + C00009 <=> C03082 + C00005 + C00080
ASPARTATEKIN-RXN	3.33333	C00002 + C00049 <=> C00008 + C03082
ISOCIT-CLEAV-RXN	3.33333	C00311 <=> C00048 + C00042
ATP-CITRATE-PRO-S--LYASE-RXN	3.33333	C00002 + C00158 + C00010 --> C00024 + C00008 + C00036 + C00009
