reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
PYRUVATE-DEHYDROGENASE-NADP+-RXN	C00005 + C00011 + C00024 = C00006 + C00010 + C00022	10.0 millimolar / second	34.15490275679191 kilojoule / mole	34.84126562494373 kilojoule / mole	34.84126562494373 kilojoule / mole	-11.43610767384367 kilojoule / mole	0.0
FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN	C00009 + C05345 = C00001 + C00227 + C00279	3.33333 millimolar / second	-52.98072247300932 kilojoule / mole	-53.1164036152198 kilojoule / mole	-53.1164036152198 kilojoule / mole	-19.299776986700042 kilojoule / mole	0.0
PHOSPHOKETOLASE-RXN	C00009 + C00231 = C00001 + C00118 + C00227	6.66667 millimolar / second	-58.82451517174445 kilojoule / mole	-58.96094607029823 kilojoule / mole	-58.96094607029823 kilojoule / mole	-17.69905096965333 kilojoule / mole	0.0
RXN0-313	C00118 + C00184 = C05345	3.33333 millimolar / second	-15.852890804659467 kilojoule / mole	-15.40686209999684 kilojoule / mole	1.7079754347241944 kilojoule / mole	-16.677415835728056 kilojoule / mole	0.0
2PGADEHYDRAT-RXN	C00001 + C00074 = C00631	10.0 millimolar / second	3.8108873820314386 kilojoule / mole	3.1044819641879857 kilojoule / mole	3.1044819641879857 kilojoule / mole	-10.10787320940865 kilojoule / mole	0.33333
PHOSACETYLTRANS-RXN	C00010 + C00227 = C00009 + C00024	10.0 millimolar / second	-8.878981560286007 kilojoule / mole	-8.870238688532726 kilojoule / mole	-8.870238688532726 kilojoule / mole	-12.51771056450442 kilojoule / mole	0.0
SEDOBISALDOL-RXN	C00111 + C00279 = C00447	3.33333 millimolar / second	-20.836227629645975 kilojoule / mole	-20.570323751518426 kilojoule / mole	-3.4554862167973934 kilojoule / mole	-12.923825149186204 kilojoule / mole	0.0
PHOSGLYPHOS-RXN	C00002 + C00197 = C00008 + C00236	6.66667 millimolar / second	19.315639861920175 kilojoule / mole	17.736477862260884 kilojoule / mole	17.736477862260884 kilojoule / mole	-10.107873209411132 kilojoule / mole	0.33333
SEDOHEPTULOSE-BISPHOSPHATASE-RXN	C00001 + C00447 = C00009 + C05382	3.33333 millimolar / second	-13.452103100370095 kilojoule / mole	-13.337092091436181 kilojoule / mole	-30.451929626157217 kilojoule / mole	-26.8001796329982 kilojoule / mole	0.0
1.2.1.13-RXN	C00005 + C00080 + C00236 = C00006 + C00009 + C00118	6.66667 millimolar / second	-4.472156458657338 kilojoule / mole	-3.427977167501438 kilojoule / mole	-20.542814702222472 kilojoule / mole	-10.5986291330145 kilojoule / mole	0.0
RXN-15513	C00631 = C00197	10.0 millimolar / second	-4.52040798250934 kilojoule / mole	-5.525012702251617 kilojoule / mole	-5.525012702251617 kilojoule / mole	-10.10787320940893 kilojoule / mole	0.33333
1TRANSKETO-RXN-D-SEDOHEPTULOSE-7-P/GAP//CPD-16551/XYLULOSE-5-PHOSPHATE.56.	C00118 + C05382 = C00231 + CPD__45__16551	3.33333 millimolar / second	1238.5511229463555 kilojoule / mole	32.87880596461696 kilojoule / mole	32.87880596461696 kilojoule / mole	-10.170262089962762 kilojoule / mole	0.0
PEPDEPHOS-RXN	C00002 + C00022 = C00008 + C00074 + C00080	10.0 millimolar / second	27.583323358306416 kilojoule / mole	27.81489146079001 kilojoule / mole	27.81489146079001 kilojoule / mole	-11.005655403056382 kilojoule / mole	0.0
TRIOSEPISOMERIZATION-RXN	C00118 = C00111	6.66667 millimolar / second	-5.575349871345168 kilojoule / mole	-5.313326023766008 kilojoule / mole	-5.313326023766008 kilojoule / mole	-16.687582494800473 kilojoule / mole	0.0
RIBULP3EPIM-RXN	C00199 = C00231	3.33333 millimolar / second	-3.388013622025369 kilojoule / mole	-3.4455871766764665 kilojoule / mole	-3.4455871766764665 kilojoule / mole	-12.539444388589228 kilojoule / mole	0.0
RXN0-7249	C00001 + C00111 = C00009 + C00184	3.33333 millimolar / second	-14.958153538137253 kilojoule / mole	-14.98803582646409 kilojoule / mole	-32.102873361185125 kilojoule / mole	-40.70063440094709 kilojoule / mole	0.0
RIB5PISOM-RXN-CPD-16551//RIBULOSE-5P.23.	CPD__45__16551 = C00199	3.33333 millimolar / second	-1232.592556027651 kilojoule / mole	-26.83554007848784 kilojoule / mole	-26.83554007848784 kilojoule / mole	-19.04243426606854 kilojoule / mole	0.0
