reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	C00001 + C00011 + C01182 = 2 C00080 + 2 C00197	10.0 millimolar / second	-26.393222917870162 kilojoule / mole	-20.536622047539268 kilojoule / mole	-20.536622047539268 kilojoule / mole	-31.67080610570406 kilojoule / mole	0.0
RXN0-313	C00118 + C00184 = C05345	3.33333 millimolar / second	-15.852890804659467 kilojoule / mole	-24.039573649212098 kilojoule / mole	-6.924736114491065 kilojoule / mole	-14.236413854628188 kilojoule / mole	0.12802
2TRANSKETO-RXN	C00118 + C05345 = C00231 + C00279	3.33333 millimolar / second	5.843792698734944 kilojoule / mole	8.54462753490047 kilojoule / mole	8.54462753490047 kilojoule / mole	-14.236413854605207 kilojoule / mole	0.12802
SEDOBISALDOL-RXN	C00111 + C00279 = C00447	3.33333 millimolar / second	-20.836227629645975 kilojoule / mole	-28.34808063880859 kilojoule / mole	-11.233243104087558 kilojoule / mole	-14.236413854615764 kilojoule / mole	0.12802
PHOSGLYPHOS-RXN	C00002 + C00197 = C00008 + C00236	16.66667 millimolar / second	19.315639861920175 kilojoule / mole	19.341461200166254 kilojoule / mole	19.341461200166254 kilojoule / mole	-15.423518749813919 kilojoule / mole	0.0
SEDOHEPTULOSE-BISPHOSPHATASE-RXN	C00001 + C00447 = C00009 + C05382	3.33333 millimolar / second	-13.452103100370273 kilojoule / mole	-7.022613676856176 kilojoule / mole	-24.137451211577208 kilojoule / mole	-16.255704743052185 kilojoule / mole	0.0
1TRANSKETO-RXN-D-SEDOHEPTULOSE-7-P/GAP//CPD-15318/XYLULOSE-5-PHOSPHATE.56.	C00118 + C05382 = C00231 + C03736	3.33333 millimolar / second	1.5468319202464045 kilojoule / mole	-3.4226357894056534 kilojoule / mole	-3.4226357894056534 kilojoule / mole	-14.236413854391433 kilojoule / mole	0.11997
GAPOXNPHOSPHN-RXN	C00004 + C00080 + C00236 = C00003 + C00009 + C00118	16.66667 millimolar / second	-4.602711492658045 kilojoule / mole	-4.55141027181709 kilojoule / mole	-21.666247806538124 kilojoule / mole	-17.112131981416862 kilojoule / mole	0.0
TRIOSEPISOMERIZATION-RXN	C00118 = C00111	6.66667 millimolar / second	-5.575349871345168 kilojoule / mole	-6.3346922634017755 kilojoule / mole	-6.3346922634017755 kilojoule / mole	-14.236413854660752 kilojoule / mole	0.12802
PHOSPHORIBULOKINASE-RXN	C00002 + C00199 = C00008 + C00080 + C01182	10.0 millimolar / second	-25.87826407273303 kilojoule / mole	-28.93040588750193 kilojoule / mole	-28.93040588750193 kilojoule / mole	-45.29249383357567 kilojoule / mole	0.0
RIBULP3EPIM-RXN	C00231 = C00199	6.66667 millimolar / second	3.388013622025369 kilojoule / mole	1.8154331192486244 kilojoule / mole	1.8154331192486244 kilojoule / mole	-14.2364138529293 kilojoule / mole	0.24799
RXN0-7249	C00001 + C00111 = C00009 + C00184	3.33333 millimolar / second	-14.958153538137033 kilojoule / mole	-10.482501065680681 kilojoule / mole	-27.597338600401713 kilojoule / mole	-34.63365391797395 kilojoule / mole	0.0
RIB5PISOM-RXN-CPD-15318//RIBULOSE-5P.23.	C03736 = C00199	3.33333 millimolar / second	4.411734998458314 kilojoule / mole	4.5375278648692206 kilojoule / mole	4.5375278648692206 kilojoule / mole	-14.2364138543832 kilojoule / mole	0.11997
