Reaction ID	Fluxes	Equation(ID)
RXN-9952	10.0	C00011 + C00005 + C00199 --> C00345 + C00006
RXN0-313	-3.33333	C05345 <=> C00184 + C00118
PGLUCONDEHYDRAT-RXN	10.0	C00345 --> C00001 + C04442
2TRANSKETO-RXN	-3.33333	C00279 + C00231 <=> C05345 + C00118
2PGADEHYDRAT-RXN	-10.0	C00631 <=> C00074 + C00001
SEDOBISALDOL-RXN	3.33333	C00111 + C00279 <=> C00447
PHOSGLYPHOS-RXN	6.66667	C00002 + C00197 <=> C00008 + C00236
SEDOHEPTULOSE-BISPHOSPHATASE-RXN	3.33333	C00447 + C00001 --> C05382 + C00009
KDPGALDOL-RXN	10.0	C04442 --> C00118 + C00022
1.2.1.13-RXN	6.66667	C00236 + C00005 + C00080 --> C00118 + C00006 + C00009
RXN-15513	10.0	C00631 <=> C00197
1TRANSKETO-RXN-D-SEDOHEPTULOSE-7-P/GAP//CPD-16551/XYLULOSE-5-PHOSPHATE.56.	3.33333	C05382 + C00118 <=> CPD__45__16551_c + C00231
PEPDEPHOS-RXN	10.0	C00002 + C00022 --> C00008 + C00074 + C00080
TRIOSEPISOMERIZATION-RXN	6.66667	C00118 <=> C00111
RIBULP3EPIM-RXN	-6.66667	C00199 <=> C00231
RXN0-7249	3.33333	C00111 + C00001 --> C00184 + C00009
RIB5PISOM-RXN-CPD-16551//RIBULOSE-5P.23.	3.33333	CPD__45__16551_c <=> C00199
