Reaction ID	Fluxes	Equation(ID)
RXN-18384	3.33333	C00894 + C00011 + C00005 --> C01213 + C00006
RXN-8457	3.33333	C00002 + C00011 + C00001 + C00026 --> C00008 + C05379 + 2.0 C00080 + C00009
OXOGLUTARATE-DEHYDROGENASE-NADP+-RXN	3.33333	C00011 + C00005 + C00091 --> C00010 + C00006 + C00026
PYRUVFORMLY-RXN	3.33333	C00024 + C00058 --> C00010 + C00022
RXN-16767	-3.33333	C00004 <=> C21424
2PGADEHYDRAT-RXN	-3.33333	C00631 <=> C00074 + C00001
HOMOSERDEAM-RXN	3.33333	C00263 --> C00014 + C00109
1.4.1.21-RXN-L-ASPARTATE/NAD/WATER//OXALACETIC_ACID/AMMONIUM/NADH/PROTON.60.	-3.33333	C00049 + C00003 + C00001 <=> C00014 + C00004 + C00036 + C00080
KETOBUTFORMLY-RXN	3.33333	C00010 + C00109 --> C00058 + C00100
HOMOSERDEHYDROG-RXN-HOMO-SER/NAD//L-ASPARTATE-SEMIALDEHYDE/NADH/PROTON.51.	3.33333	C00441 + C00004 + C00080 --> C00263 + C00003
RXN-15513	3.33333	C00631 <=> C00197
R23-RXN	3.33333	C00004 + C05379 + C00080 --> C00003 + C00311
RXN-14047	-3.33333	C00158 <=> C00311
PEPDEPHOS-RXN	3.33333	C00002 + C00022 --> C00008 + C00074 + C00080
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	-3.33333	C00441 + C00006 + C00009 <=> C03082 + C00005 + C00080
RXN-15977	3.33333	C00007 + C00100 --> C00894 + C00027
RXN-16774	-3.33333	C21424 + C00007 + C00080 <=> C00027 + C00003
ASPARTATEKIN-RXN	3.33333	C00002 + C00049 <=> C00008 + C03082
METHYLMALONYL-COA-MUT-RXN	3.33333	C01213 <=> C00091
ATP-CITRATE-PRO-S--LYASE-RXN	3.33333	C00002 + C00158 + C00010 --> C00024 + C00008 + C00036 + C00009
