reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RXN-8457	C00001 + C00002 + C00011 + C00026 = C00008 + C00009 + 2 C00080 + C05379	3.33333 millimolar / second	-14.212150054010465 kilojoule / mole	-15.187416248311742 kilojoule / mole	-15.187416248311742 kilojoule / mole	-66.39549047838014 kilojoule / mole	0.0
OXOGLUTARATE-DEHYDROGENASE-NADP+-RXN	C00005 + C00011 + C00091 = C00006 + C00010 + C00026	3.33333 millimolar / second	28.131231071569573 kilojoule / mole	27.05305648521955 kilojoule / mole	27.05305648521955 kilojoule / mole	-10.696076933362411 kilojoule / mole	0.00897
GCVMULTI-RXN-GLY/THF/NAD//METHYLENE-THF/AMMONIUM/CARBON-DIOXIDE/NADH.56.	C00004 + C00011 + C00014 + C00143 = C00003 + C00037 + C00101	3.33333 millimolar / second	-22.18646711534643 kilojoule / mole	-23.330856985226703 kilojoule / mole	-6.216019450505669 kilojoule / mole	-16.825248903558816 kilojoule / mole	0.0
FORMATETHFLIG-RXN-THF/ATP/FORMATE//10-FORMYL-THF/ADP/Pi.38.	C00002 + C00058 + C00101 = C00008 + C00009 + C00234	3.33333 millimolar / second	-2.67495415792132 kilojoule / mole	-0.9347389322441162 kilojoule / mole	-0.9347389322441162 kilojoule / mole	-14.108434935526544 kilojoule / mole	0.0
2PGADEHYDRAT-RXN	C00001 + C00074 = C00631	3.33333 millimolar / second	3.8108873820314386 kilojoule / mole	3.439551000826571 kilojoule / mole	3.439551000826571 kilojoule / mole	-10.69607685665264 kilojoule / mole	0.22889
THREONINE-RACEMASE-RXN	C00820 = C00188	3.33333 millimolar / second	-10.045215204066324 kilojoule / mole	-10.170100012099542 kilojoule / mole	-10.170100012099542 kilojoule / mole	-10.696077842487314 kilojoule / mole	0.00063
KETOBUTFORMLY-RXN	C00010 + C00109 = C00058 + C00100	3.33333 millimolar / second	-3.5569274338458854 kilojoule / mole	-2.8056439484733513 kilojoule / mole	-2.8056439484733513 kilojoule / mole	-10.696076932945475 kilojoule / mole	0.00897
METHENYLTHFCYCLOHYDRO-RXN-5-10-METHENYL-THF/WATER//10-FORMYL-THF/PROTON.46.	C00080 + C00234 = C00001 + C00445	3.33333 millimolar / second	4.698385017943565 kilojoule / mole	0.43552073709106853 kilojoule / mole	0.43552073709106853 kilojoule / mole	-10.696076856623677 kilojoule / mole	0.22889
RXN-15513	C00631 = C00197	3.33333 millimolar / second	-4.52040798250934 kilojoule / mole	-5.057650769856308 kilojoule / mole	-5.057650769856308 kilojoule / mole	-10.696076856663485 kilojoule / mole	0.22889
THREDEHYD-RXN	C00188 = C00014 + C00109	3.33333 millimolar / second	-24.091969719207157 kilojoule / mole	-21.98384880279538 kilojoule / mole	-39.09868633751641 kilojoule / mole	-19.400143408294223 kilojoule / mole	0.0
R23-RXN	C00004 + C00080 + C05379 = C00003 + C00311	3.33333 millimolar / second	-18.759583182588386 kilojoule / mole	-19.588290433969966 kilojoule / mole	-19.588290433969966 kilojoule / mole	-22.786566053047522 kilojoule / mole	0.0
RXN-14047	C00311 = C00158	3.33333 millimolar / second	-6.843282680861449 kilojoule / mole	-6.807727449027936 kilojoule / mole	-6.807727449027936 kilojoule / mole	-15.641251488349653 kilojoule / mole	0.0
METHYLENETHFDEHYDROG-NADP-RXN-METHYLENE-THF/NADP//5-10-METHENYL-THF/NADPH.44.	C00005 + C00445 = C00006 + C00143	3.33333 millimolar / second	-8.773132576010198 kilojoule / mole	-7.8190110456795825 kilojoule / mole	-7.8190110456795825 kilojoule / mole	-17.900827513534292 kilojoule / mole	0.0
PEPDEPHOS-RXN	C00002 + C00022 = C00008 + C00074 + C00080	3.33333 millimolar / second	27.5833233583064 kilojoule / mole	26.85762173300065 kilojoule / mole	26.85762173300065 kilojoule / mole	-10.696076856668286 kilojoule / mole	0.22889
4.1.2.42-RXN	C00037 + C00084 = C00820	3.33333 millimolar / second	0.08155475338753604 kilojoule / mole	0.18783298793486664 kilojoule / mole	17.3026705226559 kilojoule / mole	-10.696077858314911 kilojoule / mole	0.00063
2.1.3.1-RXN	C00036 + C00100 = C00022 + C00683	3.33333 millimolar / second	2.1831111312283156 kilojoule / mole	-0.9855032352670356 kilojoule / mole	-0.9855032352670356 kilojoule / mole	-10.696076886783931 kilojoule / mole	0.02175
METHYLMALONYL-COA-MUT-RXN	C01213 = C00091	3.33333 millimolar / second	-8.353466868023588 kilojoule / mole	-8.395523407880544 kilojoule / mole	-8.395523407880544 kilojoule / mole	-10.696076887599045 kilojoule / mole	0.02175
METHYLMALONYL-COA-EPIM-RXN	C00683 = C01213	3.33333 millimolar / second	0.15463308194898673 kilojoule / mole	0.11257921440358526 kilojoule / mole	0.11257921440358526 kilojoule / mole	-10.696076887542596 kilojoule / mole	0.02175
ATP-CITRATE-PRO-S--LYASE-RXN	C00002 + C00010 + C00158 = C00008 + C00009 + C00024 + C00036	3.33333 millimolar / second	8.551954445346155 kilojoule / mole	8.534796063354518 kilojoule / mole	-8.580041471366515 kilojoule / mole	-17.42159752074918 kilojoule / mole	0.0
ACETALD-DEHYDROG-RXN	C00004 + C00024 + C00080 = C00003 + C00010 + C00084	3.33333 millimolar / second	17.622874712735666 kilojoule / mole	17.670353723614063 kilojoule / mole	0.55551618889303 kilojoule / mole	-12.744907505846918 kilojoule / mole	0.0
