reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
PYRUVATE-CARBOXYLASE-RXN	C00002 + C00022 + C00288 = C00008 + C00009 + C00036 + C00080	3.33333 millimolar / second	-4.927611499417402 kilojoule / mole	-4.984863722730043 kilojoule / mole	-4.984863722730043 kilojoule / mole	-31.61504581054007 kilojoule / mole	0.0
GCVMULTI-RXN-GLY/THF/NAD//METHYLENE-THF/AMMONIUM/CARBON-DIOXIDE/NADH.56.	C00004 + C00011 + C00014 + C00143 = C00003 + C00037 + C00101	3.33333 millimolar / second	-22.18646711534643 kilojoule / mole	-22.084144247676324 kilojoule / mole	-4.969306712955292 kilojoule / mole	7.082828497523237 kilojoule / mole	0.0
2-OXOBUTYRATE-SYNTHASE-RXN	C00011 + C00080 + C00100 + 2 C00138 = C00010 + C00109 + 2 C00139	3.33333 millimolar / second	1.7911890349712394 kilojoule / mole	1.657811913089804 kilojoule / mole	1.657811913089804 kilojoule / mole	9.461016286908354 kilojoule / mole	0.0
RXN-2881-FORMALDEHYDE/THF//METHYLENE-THF/WATER.38.	C00067 + C00101 = C00001 + C00143	3.33333 millimolar / second	-25.355278707548877 kilojoule / mole	-25.340315212601375 kilojoule / mole	-8.22547767788034 kilojoule / mole	0.9661077775091877 kilojoule / mole	0.0
PYRUVFORMLY-RXN	C00024 + C00058 = C00010 + C00022	3.33333 millimolar / second	19.810021191652687 kilojoule / mole	19.841312709560732 kilojoule / mole	19.841312709560732 kilojoule / mole	8.212234657577548 kilojoule / mole	0.0
RXN0-5224	C00001 + C00011 = C00080 + C00288	3.33333 millimolar / second	-5.187235000808812 kilojoule / mole	-5.106019301966385 kilojoule / mole	-5.106019301966385 kilojoule / mole	-38.894253780730864 kilojoule / mole	0.0
RXN-16767	C21424 = C00004	3.33333 millimolar / second	0.5321601063815251 kilojoule / mole	3.806351703384664 kilojoule / mole	3.806351703384664 kilojoule / mole	19.84168815356649 kilojoule / mole	0.0
2PGADEHYDRAT-RXN	C00001 + C00074 = C00631	3.33333 millimolar / second	3.8108873820314386 kilojoule / mole	3.8231434189497175 kilojoule / mole	3.8231434189497175 kilojoule / mole	2.8317644227752337 kilojoule / mole	0.0
PHOSACETYLTRANS-RXN	C00010 + C00227 = C00009 + C00024	3.33333 millimolar / second	-8.878981560286064 kilojoule / mole	-8.880570938497945 kilojoule / mole	-8.880570938497945 kilojoule / mole	1.2316547036552874 kilojoule / mole	0.0
ALANINE--OXO-ACID-AMINOTRANSFERASE-RXN-L-ALPHA-ALANINE/2-OXOBUTANOATE//PYRUVATE/CPD-298.49.	C00041 + C00109 = C00022 + C02721	3.33333 millimolar / second	34.57151619476036 kilojoule / mole	34.10024771646176 kilojoule / mole	34.10024771646176 kilojoule / mole	15.715206565745623 kilojoule / mole	0.0
HOMOSERDEAM-RXN	C00263 = C00014 + C00109	3.33333 millimolar / second	-63.20180363413033 kilojoule / mole	-62.90775777851172 kilojoule / mole	-80.02259531323276 kilojoule / mole	-78.07696308121133 kilojoule / mole	0.0
1.4.1.21-RXN-L-ASPARTATE/NADP/WATER//OXALACETIC_ACID/AMMONIUM/NADPH/PROTON.62.	C00005 + C00014 + C00036 + C00080 = C00001 + C00006 + C00049	3.33333 millimolar / second	-39.1955939030197 kilojoule / mole	-39.180884536004314 kilojoule / mole	-22.06604700128328 kilojoule / mole	8.918698504524583 kilojoule / mole	0.0
KETOBUTFORMLY-RXN	C00010 + C00109 = C00058 + C00100	3.33333 millimolar / second	-3.556927433845864 kilojoule / mole	-3.450057113769881 kilojoule / mole	-3.450057113769881 kilojoule / mole	1.1241682561113022 kilojoule / mole	0.0
HOMOSERDEHYDROG-RXN-HOMO-SER/NAD//L-ASPARTATE-SEMIALDEHYDE/NADH/PROTON.51.	C00004 + C00080 + C00441 = C00003 + C00263	3.33333 millimolar / second	-22.520671894942552 kilojoule / mole	-22.530544181448064 kilojoule / mole	-22.530544181448064 kilojoule / mole	14.81649562412566 kilojoule / mole	0.0
HYDROG-RXN	2 C00139 + C00282 = 2 C00080 + 2 C00138	3.33333 millimolar / second	-19.5963599999833 kilojoule / mole	-19.596375284091067 kilojoule / mole	-2.4815377493700357 kilojoule / mole	-33.89106746896056 kilojoule / mole	0.0
RXN-7566	C00009 + C00037 + C00080 + C00342 = C00001 + C00014 + C00227 + C00343	3.33333 millimolar / second	-2.7069868415694742 kilojoule / mole	-2.7114447975127325 kilojoule / mole	-2.7114447975127325 kilojoule / mole	16.36587773160521 kilojoule / mole	0.0
1.6.99.5-RXN-NADH/CPD-9720/PROTON//NAD/CPD-12126.36.	C00004 + C00080 + C21526 = C00003 + CPD__45__12126	3.33333 millimolar / second	-63.52357506999988 kilojoule / mole	-22.950620700468164 kilojoule / mole	-22.950620700468164 kilojoule / mole	22.659809727877388 kilojoule / mole	0.0
RXN-15513	C00631 = C00197	3.33333 millimolar / second	-4.52040798250934 kilojoule / mole	-4.504895886378936 kilojoule / mole	-4.504895886378936 kilojoule / mole	-2.3363708208901053 kilojoule / mole	0.0
1.12.5.1-RXN-CPD-9720/HYDROGEN-MOLECULE//CPD-12126.38.	CPD__45__12126 = C00282 + C21526	3.33333 millimolar / second	99.09999999999599 kilojoule / mole	58.70300476232021 kilojoule / mole	41.58816722759918 kilojoule / mole	22.915546887981414 kilojoule / mole	0.0
N-METHYL-L-AMINO-ACID-OXIDASE-RXN-CPD-298/OXYGEN-MOLECULE/WATER//L-ALPHA-ALANINE/FORMALDEHYDE/HYDROGEN-PEROXIDE.78.	C00001 + C00007 + C02721 = C00027 + C00041 + C00067	3.33333 millimolar / second	-68.9962422617597 kilojoule / mole	-45.08990060809952 kilojoule / mole	-62.20473814282055 kilojoule / mole	-35.07073470059597 kilojoule / mole	0.0
PEPDEPHOS-RXN	C00002 + C00022 = C00008 + C00074 + C00080	3.33333 millimolar / second	27.583323358306416 kilojoule / mole	27.61042438313833 kilojoule / mole	27.61042438313833 kilojoule / mole	-2.0322574511892983 kilojoule / mole	0.0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	C00005 + C00080 + C03082 = C00006 + C00009 + C00441	3.33333 millimolar / second	20.34505342193961 kilojoule / mole	20.345053238223965 kilojoule / mole	3.230215703502931 kilojoule / mole	18.852091327540958 kilojoule / mole	0.0
RXN-16774	C00003 + C00027 = C00007 + C00080 + C21424	3.33333 millimolar / second	131.89141496345414 kilojoule / mole	105.08620996922365 kilojoule / mole	105.08620996922365 kilojoule / mole	25.21696813695273 kilojoule / mole	1.0
ASPARTATEKIN-RXN	C00002 + C00049 = C00008 + C03082	3.33333 millimolar / second	22.274273316339418 kilojoule / mole	22.27427314537142 kilojoule / mole	22.27427314537142 kilojoule / mole	17.843102906085768 kilojoule / mole	0.0
