reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
ACETYL-COA-CARBOXYLTRANSFER-RXN	C00002 + C00024 + C00288 = C00008 + C00009 + C00080 + C00083	3.33333 millimolar / second	-6.819476712687852 kilojoule / mole	-7.28481544833562 kilojoule / mole	-7.28481544833562 kilojoule / mole	-61.65702219610476 kilojoule / mole	0.0
ISOCITDEH-RXN	C00005 + C00011 + C00026 = C00006 + C00311	3.33333 millimolar / second	-5.475979454694226 kilojoule / mole	-14.210021970752223 kilojoule / mole	2.9048155639688105 kilojoule / mole	-23.23420827583487 kilojoule / mole	0.07229
2-OXOBUTYRATE-SYNTHASE-RXN	C00011 + C00080 + C00100 + 2 C00138 = C00010 + C00109 + 2 C00139	3.33333 millimolar / second	1.7911890349712394 kilojoule / mole	6.710182965757219 kilojoule / mole	6.710182965757219 kilojoule / mole	-23.234208276517485 kilojoule / mole	0.05482
PYRUVFORMLY-RXN	C00024 + C00058 = C00010 + C00022	3.33333 millimolar / second	19.810021191652694 kilojoule / mole	19.13069221515651 kilojoule / mole	19.13069221515651 kilojoule / mole	-23.23420827367791 kilojoule / mole	0.17408
RXN0-5224	C00001 + C00011 = C00080 + C00288	3.33333 millimolar / second	-5.187235000808812 kilojoule / mole	-13.902974700109349 kilojoule / mole	-13.902974700109349 kilojoule / mole	-40.55704621081949 kilojoule / mole	0.0
HYDGLUTSYN-RXN	C00001 + C00048 + C00100 = C00010 + C00080 + C02630	3.33333 millimolar / second	-39.55379493750618 kilojoule / mole	-33.85567919974947 kilojoule / mole	-33.85567919974947 kilojoule / mole	-23.234208280333945 kilojoule / mole	0.03372
RXN-8974	C00005 + C00080 + C00222 = C00006 + C01013	3.33333 millimolar / second	-23.328358352916297 kilojoule / mole	-23.374971834085844 kilojoule / mole	-23.374971834085844 kilojoule / mole	-34.66718390991837 kilojoule / mole	0.0
PHOSGLYPHOS-RXN	C00002 + C00197 = C00008 + C00236	3.33333 millimolar / second	19.31563986192012 kilojoule / mole	19.288375803698425 kilojoule / mole	19.288375803698425 kilojoule / mole	-23.234208277914416 kilojoule / mole	0.04589
KETOBUTFORMLY-RXN	C00010 + C00109 = C00058 + C00100	3.33333 millimolar / second	-3.556927433845864 kilojoule / mole	-19.959542039308587 kilojoule / mole	-19.959542039308587 kilojoule / mole	-23.23420827365066 kilojoule / mole	0.17408
1.2.7.6-RXN	C00001 + C00118 + 2 C00139 = 3 C00080 + 2 C00138 + C00197	3.33333 millimolar / second	-26.098062187153445 kilojoule / mole	-23.91656044820185 kilojoule / mole	-23.91656044820185 kilojoule / mole	-23.23420827750172 kilojoule / mole	0.04589
RXN-14103	C00016 + C00080 + C02630 = C00026 + C01352	3.33333 millimolar / second	-0.14907495812690286 kilojoule / mole	-5.539934314079485 kilojoule / mole	-5.539934314079485 kilojoule / mole	-23.234208275730463 kilojoule / mole	0.07229
MALYL-COA-LYASE-RXN	C04348 = C00024 + C00048	3.33333 millimolar / second	16.16223184156047 kilojoule / mole	10.995466820660642 kilojoule / mole	-6.119370714060392 kilojoule / mole	-23.234208274352635 kilojoule / mole	0.12183
GAPOXNPHOSPHN-RXN	C00004 + C00080 + C00236 = C00003 + C00009 + C00118	3.33333 millimolar / second	-4.602711492658045 kilojoule / mole	-4.538340733567806 kilojoule / mole	-21.65317826828884 kilojoule / mole	-24.82127184466716 kilojoule / mole	0.0
RXN-14047	C00311 = C00158	3.33333 millimolar / second	-6.843282680861449 kilojoule / mole	-6.849954077925748 kilojoule / mole	-6.849954077925748 kilojoule / mole	-23.234208275834742 kilojoule / mole	0.07229
MALATE-DEH-RXN[CCO-CYTOSOL]-MAL/NAD//OXALACETIC_ACID/NADH/PROTON.50.	C00004 + C00036 + C00080 = C00003 + C00149	3.33333 millimolar / second	-29.558211165425092 kilojoule / mole	-29.562889485839236 kilojoule / mole	-29.562889485839236 kilojoule / mole	-23.234208278147293 kilojoule / mole	0.04427
RXN-8968	C00002 + C00005 + C00010 + C00080 + C01013 = C00001 + C00006 + C00013 + C00020 + C00100	3.33333 millimolar / second	-60.75613024174429 kilojoule / mole	-66.60319307294593 kilojoule / mole	-66.60319307294593 kilojoule / mole	-77.96432608104587 kilojoule / mole	0.0
RXN-8963	C00005 + C00080 + C00083 = C00006 + C00010 + C00222	3.33333 millimolar / second	9.907933190874758 kilojoule / mole	9.667653905324272 kilojoule / mole	-7.447183629396761 kilojoule / mole	-36.29630883924686 kilojoule / mole	0.0
MALATE--COA-LIGASE-RXN	C00002 + C00010 + C00149 = C00008 + C00009 + C04348	3.33333 millimolar / second	-7.716096846263554 kilojoule / mole	-2.059587438412146 kilojoule / mole	-2.059587438412146 kilojoule / mole	-23.234208278047973 kilojoule / mole	0.04427
ATP-CITRATE-PRO-S--LYASE-RXN	C00002 + C00010 + C00158 = C00008 + C00009 + C00024 + C00036	3.33333 millimolar / second	8.551954445346922 kilojoule / mole	8.519429618063178 kilojoule / mole	-8.595407916657855 kilojoule / mole	-23.234208278159482 kilojoule / mole	0.04427
