Reaction ID	Fluxes	Equation(ID)
ACETYL-COA-CARBOXYLTRANSFER-RXN	3.33333	C00024 + C00002 + C00288 --> C00008 + C00083 + C00080 + C00009
PROPIONYL-COA-CARBOXY-RXN	3.33333	C00002 + C00288 + C00100 --> C00008 + C00683 + C00080 + C00009
GLUTACONYL-COA-DECARBOXYLASE-RXN	3.33333	C00011 + C00877 --> C02411 + C00080
RXN0-5224	-6.66667	C00288 + C00080 <=> C00011 + C00001
RXN-8974	3.33333	C00222 + C00005 + C00080 --> C00006 + C01013
KETOGLUTREDUCT-RXN	3.33333	C00003 + C01087 <=> C00004 + C00080 + C00026
RXN-1083	-3.33333	C03058 <=> C02411 + C00001
RXN-9092	3.33333	C00002 + C00010 + C00989 --> C00020 + C00013 + C11062
S-2-METHYLMALATE-DEHYDRATASE-RXN	-3.33333	C00815 <=> C01732 + C00001
METHYLASPARTATE-MUTASE-RXN	-3.33333	C03618 <=> C00025
RXN-8968	3.33333	C00002 + C00010 + C00005 + C00080 + C01013 --> C00020 + C00006 + C00013 + C00100 + C00001
RXN-8963	-3.33333	C00010 + C00222 + C00006 <-- C00083 + C00005 + C00080
METHYLASPARTATE-AMMONIA-LYASE-RXN	3.33333	C03618 <=> C00014 + C01732
GLUTAMATE-DEHYDROGENASE-RXN	-3.33333	C00025 + C00003 + C00001 <=> C00014 + C00004 + C00080 + C00026
RXN-1082	-3.33333	C00024 + C01087 <=> C00033 + C03058
METHYLMALONYL-COA-MUT-RXN	3.33333	C01213 <=> C00091
METHYLMALONYL-COA-EPIM-RXN	-3.33333	C01213 <=> C00683
RXN-8890	3.33333	C11062 <=> C00877 + C00001
RXN-11002	3.33333	C00005 + C00080 + C00232 --> C00006 + C00989
CITRAMALATE-LYASE-RXN	3.33333	C00815 --> C00033 + C00022
RXN-8891	3.33333	C00005 + C00080 + C00091 --> C00010 + C00006 + C00232
