Reaction ID	Fluxes	Equation(ID)
ACETYL-COA-CARBOXYLTRANSFER-RXN	3.33333	C00024 + C00002 + C00288 --> C00008 + C00083 + C00080 + C00009
PEPCARBOX-RXN	3.33333	C00288 + C00074 --> C00036 + C00009
OXOGLUTARATE-DEHYDROGENASE-NADP+-RXN	3.33333	C00011 + C00005 + C00091 --> C00010 + C00006 + C00026
RXN0-5224	-6.66667	C00288 + C00080 <=> C00011 + C00001
RXN-8974	3.33333	C00222 + C00005 + C00080 --> C00006 + C01013
MALONATE-COA-TRANSFERASE-RXN	-3.33333	C00024 + C00383 <=> C00033 + C00083
S-2-METHYLMALATE-DEHYDRATASE-RXN	-3.33333	C00815 <=> C01732 + C00001
METHYLASPARTATE-MUTASE-RXN	-3.33333	C03618 <=> C00025
PEPDEPHOS-RXN	3.33333	C00002 + C00022 --> C00008 + C00074 + C00080
RXN-8968	3.33333	C00002 + C00010 + C00005 + C00080 + C01013 --> C00020 + C00006 + C00013 + C00100 + C00001
2.1.3.1-RXN	-3.33333	C00683 + C00022 <=> C00036 + C00100
METHYLASPARTATE-AMMONIA-LYASE-RXN	3.33333	C03618 <=> C00014 + C01732
GLUTDEHYD-RXN	-3.33333	C00025 + C00006 + C00001 <=> C00014 + C00005 + C00080 + C00026
METHYLMALONYL-COA-MUT-RXN	3.33333	C01213 <=> C00091
MALONATE-SEMIALDEHYDE-DEHYDROGENASE-RXN-MALONATE-S-ALD/NAD/WATER//MALONATE/NADH/PROTON.47.	-3.33333	C00222 + C00003 + C00001 <=> C00383 + C00004 + 2.0 C00080
METHYLMALONYL-COA-EPIM-RXN	-3.33333	C01213 <=> C00683
CITRAMALATE-LYASE-RXN	3.33333	C00815 --> C00033 + C00022
