Reaction ID	Fluxes	Equation(ID)
PEPCARBOX-RXN	3.33333	C00288 + C00074 --> C00036 + C00009
GCVMULTI-RXN-GLY/THF/NAD//METHYLENE-THF/AMMONIUM/CARBON-DIOXIDE/NADH.56.	3.33333	C00014 + C00011 + C00143 + C00004 --> C00037 + C00003 + C00101
2-OXOBUTYRATE-SYNTHASE-RXN	3.33333	C00011 + C00100 + C00080 + 2.0 C00138 --> C00010 + 2.0 C00139 + C00109
RXN-2881-FORMALDEHYDE/THF//METHYLENE-THF/WATER.38.	3.33333	C00067 + C00101 --> C00143 + C00001
PYRUVFORMLY-RXN	3.33333	C00024 + C00058 --> C00010 + C00022
RXN0-5224	-3.33333	C00288 + C00080 <=> C00011 + C00001
METHYLGUTAMATE-DEHYDROGENASE-RXN	3.33333	C00028 + C01046 + C00001 --> C00030 + C00067 + C00025
PHOSACETYLTRANS-RXN	-3.33333	C00024 + C00009 <=> C00227 + C00010
L-AMINO-ACID-DEHYDROGENASE-RXN-CPD-298/NAD/WATER//2-OXOBUTANOATE/AMMONIUM/NADH/PROTON.55.	-3.33333	C02721 + C00003 + C00001 <=> C00014 + C00004 + C00080 + C00109
HOMOSERDEAM-RXN	3.33333	C00263 --> C00014 + C00109
1.4.1.21-RXN-L-ASPARTATE/NADP/WATER//OXALACETIC_ACID/AMMONIUM/NADPH/PROTON.62.	-3.33333	C00049 + C00006 + C00001 <=> C00014 + C00005 + C00036 + C00080
KETOBUTFORMLY-RXN	3.33333	C00010 + C00109 --> C00058 + C00100
HOMOSERDEHYDROG-RXN-HOMO-SER/NADP//L-ASPARTATE-SEMIALDEHYDE/NADPH/PROTON.53.	3.33333	C00441 + C00005 + C00080 --> C00263 + C00006
HYDROG-RXN	3.33333	C00282 + 2.0 C00139 <=> 2.0 C00080 + 2.0 C00138
RXN-7566	3.33333	C00037 + C00080 + C00009 + C00342 --> C00227 + C00014 + C00343 + C00001
2.1.1.21-RXN	3.33333	C00025 + C00218 <=> C00014 + C01046
N-METHYLALANINE-DEHYDROGENASE-RXN	3.33333	C02721 + C00006 + C00001 <=> C00218 + C00005 + C00080 + C00022
1.12.5.1-RXN-CPD-9721/HYDROGEN-MOLECULE//CPD-12130.38.	-3.33333	CPD__45__9721_c + C00282 <=> CPD__45__12130_c
PEPDEPHOS-RXN	3.33333	C00002 + C00022 --> C00008 + C00074 + C00080
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	-3.33333	C00441 + C00006 + C00009 <=> C03082 + C00005 + C00080
ASPARTATEKIN-RXN	3.33333	C00002 + C00049 <=> C00008 + C03082
RXN-11162	-3.33333	C00028 + CPD__45__12130_c <=> CPD__45__9721_c + C00030
