reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	C00001 + C00011 + C01182 = 2 C00080 + 2 C00197	10.0 millimolar / second	-26.393222917870162 kilojoule / mole	-23.03523428188682 kilojoule / mole	-23.03523428188682 kilojoule / mole	-30.973793183505602 kilojoule / mole	0.0
RXN0-313	C00118 + C00184 = C05345	3.33333 millimolar / second	-15.852890804659467 kilojoule / mole	-18.766040331325954 kilojoule / mole	-1.6512027966049185 kilojoule / mole	-12.229431447923334 kilojoule / mole	0.01379
2TRANSKETO-RXN	C00118 + C05345 = C00231 + C00279	3.33333 millimolar / second	5.843792698734944 kilojoule / mole	6.270072874791751 kilojoule / mole	6.270072874791751 kilojoule / mole	-12.229431447556976 kilojoule / mole	0.01379
2PGADEHYDRAT-RXN	C00631 = C00001 + C00074	3.33333 millimolar / second	-3.810887382031453 kilojoule / mole	-4.776175807201302 kilojoule / mole	-4.776175807201302 kilojoule / mole	-12.229431372856133 kilojoule / mole	0.46553
SEDOBISALDOL-RXN	C00111 + C00279 = C00447	3.33333 millimolar / second	-20.836227629645975 kilojoule / mole	-22.876906486153935 kilojoule / mole	-5.7620689514329015 kilojoule / mole	-12.229431447667453 kilojoule / mole	0.01379
PHOSGLYPHOS-RXN	C00002 + C00197 = C00008 + C00236	16.66667 millimolar / second	19.315639861920175 kilojoule / mole	19.25411686022235 kilojoule / mole	19.25411686022235 kilojoule / mole	-14.43477680445668 kilojoule / mole	0.0
SEDOHEPTULOSE-BISPHOSPHATASE-RXN	C00001 + C00447 = C00009 + C05382	3.33333 millimolar / second	-13.452103100370273 kilojoule / mole	-12.239098987890968 kilojoule / mole	-29.353936522612003 kilojoule / mole	-18.33329387463852 kilojoule / mole	0.0
N-ACETYLNEURAMINATE-SYNTHASE-RXN-PHOSPHO-ENOL-PYRUVATE/N-ACETYL-D-MANNOSAMINE/WATER//CPD0-1123/Pi.65.	C00001 + C00074 + C00645 = C00009 + C00270	3.33333 millimolar / second	-62.59105548708567 kilojoule / mole	-62.20855247506225 kilojoule / mole	-62.20855247506225 kilojoule / mole	-48.84756542106547 kilojoule / mole	0.0
RXN-15513	C00197 = C00631	3.33333 millimolar / second	4.52040798250934 kilojoule / mole	3.1370964408227007 kilojoule / mole	3.1370964408227007 kilojoule / mole	-12.229431372845083 kilojoule / mole	0.46553
1TRANSKETO-RXN-D-SEDOHEPTULOSE-7-P/GAP//CPD-15318/XYLULOSE-5-PHOSPHATE.56.	C00118 + C05382 = C00231 + C03736	3.33333 millimolar / second	1.5468319202464045 kilojoule / mole	0.6951872712461127 kilojoule / mole	0.6951872712461127 kilojoule / mole	-12.359246283741033 kilojoule / mole	0.0
GAPOXNPHOSPHN-RXN	C00004 + C00080 + C00236 = C00003 + C00009 + C00118	16.66667 millimolar / second	-4.602711492658045 kilojoule / mole	-4.616951793644174 kilojoule / mole	-21.731789328365206 kilojoule / mole	-15.618903799864198 kilojoule / mole	0.0
TRIOSEPISOMERIZATION-RXN	C00118 = C00111	6.66667 millimolar / second	-5.575349871345168 kilojoule / mole	-6.026771269693796 kilojoule / mole	-6.026771269693796 kilojoule / mole	-12.22943144794549 kilojoule / mole	0.01379
PHOSPHORIBULOKINASE-RXN	C00002 + C00199 = C00008 + C00080 + C01182	10.0 millimolar / second	-25.87826407273303 kilojoule / mole	-26.977447245286402 kilojoule / mole	-26.977447245286402 kilojoule / mole	-43.10370451987148 kilojoule / mole	0.0
RXN-15313	C00270 = C00022 + C00645	3.33333 millimolar / second	7.642533380875321 kilojoule / mole	7.642534964540983 kilojoule / mole	-9.47230257018005 kilojoule / mole	-22.903093319239076 kilojoule / mole	0.0
RIBULP3EPIM-RXN	C00231 = C00199	6.66667 millimolar / second	3.388013622025369 kilojoule / mole	3.0722710266607516 kilojoule / mole	3.0722710266607516 kilojoule / mole	-12.22943145808805 kilojoule / mole	0.01379
RXN0-7249	C00001 + C00111 = C00009 + C00184	3.33333 millimolar / second	-14.958153538137033 kilojoule / mole	-13.496312708012669 kilojoule / mole	-30.611150242733704 kilojoule / mole	-36.07554129827742 kilojoule / mole	0.0
RIB5PISOM-RXN-CPD-15318//RIBULOSE-5P.23.	C03736 = C00199	3.33333 millimolar / second	4.411734998458314 kilojoule / mole	4.792735323802063 kilojoule / mole	4.792735323802063 kilojoule / mole	-12.358605714106261 kilojoule / mole	0.0
