reaction_id	reaction_formula	flux	original_standard_dg_prime	standard_dg_prime	physiological_dg_prime	optimized_dg_prime	shadow_price
RXN-18384	C00005 + C00011 + C00894 = C00006 + C01213	10.0 millimolar / second	-40.836293713945 kilojoule / mole	-40.780039959325784 kilojoule / mole	-23.665202424604754 kilojoule / mole	-22.86523702833289 kilojoule / mole	0.0
PYRUVFORMLY-RXN	C00024 + C00058 = C00010 + C00022	6.66667 millimolar / second	19.81002119165261 kilojoule / mole	19.840226499029406 kilojoule / mole	19.840226499029406 kilojoule / mole	12.445856785402402 kilojoule / mole	0.0
RXN-16767	C21424 = C00004	10.0 millimolar / second	0.5321601063815251 kilojoule / mole	3.6923914536970535 kilojoule / mole	3.6923914536970535 kilojoule / mole	14.830012508727675 kilojoule / mole	0.0
FUMARATE-REDUCTASE-NADH-RXN	C00003 + C00042 = C00004 + C00080 + C00122	3.33333 millimolar / second	61.21694462493679 kilojoule / mole	61.15003279551552 kilojoule / mole	61.15003279551552 kilojoule / mole	10.932238265102924 kilojoule / mole	0.0
FUMHYDR-RXN[CCO-CYTOSOL]-MAL//FUM/WATER.28.	C00001 + C00122 = C00149	3.33333 millimolar / second	-3.4300285975664337 kilojoule / mole	-3.4288120585361876 kilojoule / mole	-3.4288120585361876 kilojoule / mole	-0.9325564910909743 kilojoule / mole	0.0
HOMOSERDEAM-RXN	C00263 = C00014 + C00109	6.66667 millimolar / second	-63.201803634130385 kilojoule / mole	-62.91803115853534 kilojoule / mole	-80.03286869325638 kilojoule / mole	-73.13734839670533 kilojoule / mole	0.0
1.4.1.21-RXN-L-ASPARTATE/NAD/WATER//OXALACETIC_ACID/AMMONIUM/NADH/PROTON.60.	C00004 + C00014 + C00036 + C00080 = C00001 + C00003 + C00049	6.66667 millimolar / second	-39.32614893702117 kilojoule / mole	-39.326243242110806 kilojoule / mole	-22.21140570738977 kilojoule / mole	18.120982637138976 kilojoule / mole	0.0
KETOBUTFORMLY-RXN	C00010 + C00109 = C00058 + C00100	6.66667 millimolar / second	-3.5569274338458854 kilojoule / mole	-3.453748022534331 kilojoule / mole	-3.453748022534331 kilojoule / mole	-1.5501909067906778 kilojoule / mole	0.0
HOMOSERDEHYDROG-RXN-HOMO-SER/NAD//L-ASPARTATE-SEMIALDEHYDE/NADH/PROTON.51.	C00004 + C00080 + C00441 = C00003 + C00263	6.66667 millimolar / second	-22.520671894942552 kilojoule / mole	-22.530198830885954 kilojoule / mole	-22.530198830885954 kilojoule / mole	18.17296728333535 kilojoule / mole	0.0
MALYL-COA-LYASE-RXN	C04348 = C00024 + C00048	3.33333 millimolar / second	16.1622318415602 kilojoule / mole	16.16223036090375 kilojoule / mole	-0.9526071738172837 kilojoule / mole	-2.2749510746114323 kilojoule / mole	0.0
RXN-14047	C00311 = C00158	3.33333 millimolar / second	-6.843282680861449 kilojoule / mole	-6.838260339970637 kilojoule / mole	-6.838260339970637 kilojoule / mole	-5.601070744510515 kilojoule / mole	0.0
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	C00005 + C00080 + C03082 = C00006 + C00009 + C00441	6.66667 millimolar / second	20.34505342193966 kilojoule / mole	20.345059425583337 kilojoule / mole	3.2302218908623024 kilojoule / mole	19.020608694804597 kilojoule / mole	0.0
RXN-15977	C00007 + C00100 = C00027 + C00894	10.0 millimolar / second	-71.86862986103537 kilojoule / mole	-49.3323888741766 kilojoule / mole	-49.3323888741766 kilojoule / mole	-26.559281102242533 kilojoule / mole	0.0
RXN-16774	C00003 + C00027 = C00007 + C00080 + C21424	10.0 millimolar / second	131.89141496345414 kilojoule / mole	106.01910890333608 kilojoule / mole	106.01910890333608 kilojoule / mole	26.149867069535027 kilojoule / mole	1.0
ASPARTATEKIN-RXN	C00002 + C00049 = C00008 + C03082	6.66667 millimolar / second	22.274273316339418 kilojoule / mole	22.274288588206385 kilojoule / mole	22.274288588206385 kilojoule / mole	17.4987864618763 kilojoule / mole	0.0
2.1.3.1-RXN	C00022 + C00683 = C00036 + C00100	3.33333 millimolar / second	-2.1831111312283156 kilojoule / mole	-2.0164451226023523 kilojoule / mole	-2.0164451226023523 kilojoule / mole	2.810417158349029 kilojoule / mole	0.0
RXN-8964	C00091 + C00149 = C00042 + C04348	3.33333 millimolar / second	-5.964746905089896 kilojoule / mole	-5.9379322126776115 kilojoule / mole	-5.9379322126776115 kilojoule / mole	-5.457614894007501 kilojoule / mole	0.0
METHYLMALONYL-COA-MUT-RXN	C01213 = C00091	6.66667 millimolar / second	-8.353466868023588 kilojoule / mole	-8.353460464797013 kilojoule / mole	-8.353460464797013 kilojoule / mole	-6.524986855676043 kilojoule / mole	0.0
METHYLMALONYL-COA-EPIM-RXN	C01213 = C00683	3.33333 millimolar / second	-0.15463308194898673 kilojoule / mole	-0.15463846224595912 kilojoule / mole	-0.15463846224595912 kilojoule / mole	1.8793829363490064 kilojoule / mole	0.0
CITLY-RXN	C00158 = C00033 + C00036	3.33333 millimolar / second	3.801298359547289 kilojoule / mole	3.800149482449185 kilojoule / mole	-13.31468805227185 kilojoule / mole	-11.033339459623202 kilojoule / mole	0.0
ISOCIT-CLEAV-RXN	C00042 + C00048 = C00311	3.33333 millimolar / second	-9.519832192639427 kilojoule / mole	-9.521016661270336 kilojoule / mole	7.593820873450698 kilojoule / mole	8.213936146913886 kilojoule / mole	0.0
RXN-8807	C00033 + C00091 = C00024 + C00042	3.33333 millimolar / second	6.5020060269730635 kilojoule / mole	6.490541444168703 kilojoule / mole	6.490541444168703 kilojoule / mole	8.008481556411418 kilojoule / mole	0.0
